job_id,job_role,company,experience,salary,location,rating,reviews,resposibilities,posted_on,job_link,company_link
060123905916,People Advisor Senior Analyst,Accenture,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4.1,32096 Reviews,"Business process,Change management,Performance management,Conflict management,Consulting,written communication,excel,Performance improvement",1 Day Ago,https://www.naukri.com/job-listings-people-advisor-senior-analyst-accenture-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-6-years-060123905916,https://www.naukri.com/accenture-jobs-careers-7682
060123905891,HR Service Delivery Senior Analyst,Accenture,3-7 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4.1,32096 Reviews,"Business process,Consulting,Forensic,Stakeholder management,Analytics,Analytical skills,Service delivery,Audit compliance",1 Day Ago,https://www.naukri.com/job-listings-hr-service-delivery-senior-analyst-accenture-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-3-to-7-years-060123905891,https://www.naukri.com/accenture-jobs-careers-7682
060123905890,Data Science Specialist,Accenture,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",4.1,32096 Reviews,"Product management,Change management,Consulting,Machine learning,Python,VBA,Artificial Intelligence,Text analysis",1 Day Ago,https://www.naukri.com/job-listings-data-science-specialist-accenture-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-2-to-4-years-060123905890,https://www.naukri.com/accenture-jobs-careers-7682
060123010787,Solution Designer,Tech Mahindra,4-9 Yrs,Not disclosed,"Hybrid - Kolkata, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",3.7,21417 Reviews,"solution design,Component Design,Solution Architecture,Enterprise Telecom Product,Cpq,Product Modelling,TM Forum Frameworks,Fulfillment and Assurance Billing Design",1 Day Ago,https://www.naukri.com/job-listings-solution-designer-tech-mahindra-kolkata-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-mumbai-all-areas-4-to-9-years-060123010787,https://www.naukri.com/tech-mahindra-jobs-careers-1066
060123006368,Hiring-Java-Pune/Mumbai/Bangalore/Hyderabad/Chennai/Gurgaon/Noida,Citiustech,3-8 Yrs,Not disclosed,"Hybrid - Noida, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",4.0,742 Reviews,java,1 Day Ago,https://www.naukri.com/job-listings-hiring-java-pune-mumbai-bangalore-hyderabad-chennai-gurgaon-noida-citiustech-noida-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-chennai-bangalore-bengaluru-3-to-8-years-060123006368,https://www.naukri.com/citiustech-jobs-careers-142075
050123009238,Splunk Developer,Accenture,4-6 Yrs,Not disclosed,"Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",4.1,32096 Reviews,"splunk,siem",2 Days Ago,https://www.naukri.com/job-listings-splunk-developer-accenture-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-4-to-6-years-050123009238,https://www.naukri.com/accenture-jobs-careers-7682
050123004500,Automation Test Engineer,HCLTech,,Not disclosed,,3.8,18328 Reviews,"webdriverio,javascript,Automation Testing",Walk-in2 Days Ago,https://www.naukri.com/job-listings-automation-test-engineer-hcltech-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-4-to-9-years-050123004500,https://www.naukri.com/hcltech-jobs-careers-460
060123010911,Unified Functional Testing/UFT Automation Testing,Capgemini,5-9 Yrs,Not disclosed,"Temp. WFH - Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",3.9,23762 Reviews,"Unified Functional Testing,automation testing,VB SCRIPT,Uft Testing,Hp Alm,UFT,object - oriented automation,communication",1 Day Ago,https://www.naukri.com/job-listings-unified-functional-testing-uft-automation-testing-capgemini-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-mumbai-all-areas-5-to-9-years-060123010911,https://www.naukri.com/capgemini-jobs-careers-649
050123010666,Autosar Developer,Larsen & Toubro (L&T),4-9 Yrs,Not disclosed,"Hyderabad/Secunderabad, Mysore/Mysuru, Pune, Chennai, Bangalore/Bengaluru, Mumbai (All Areas)",4.1,24022 Reviews,"AUTOSAR,UDS,CAN,automotive",2 Days Ago,https://www.naukri.com/job-listings-autosar-developer-larsen-toubro-l-t-hyderabad-secunderabad-mysore-mysuru-pune-chennai-bangalore-bengaluru-mumbai-all-areas-4-to-9-years-050123010666,https://www.naukri.com/larsen-toubro-l-t-jobs-careers-22025
060123011584,Senior Product Experience Engineer,Red Hat,7-12 Yrs,Not disclosed,"Hybrid - Pune, Bangalore/Bengaluru, Delhi / NCR, Mumbai (All Areas)",4.5,218 Reviews,"Kubernetes Deployment,Kubernetes,Cloud Computing,GCP,Openshift,AWS,Microservices,Azure Devops",1 Day Ago,https://www.naukri.com/job-listings-senior-product-experience-engineer-red-hat-pune-bangalore-bengaluru-delhi-ncr-mumbai-all-areas-7-to-12-years-060123011584,https://www.naukri.com/red-hat-jobs-careers-1651
