name,team,height,date_of_birth,birth_place,role,teams,bat_test,bat_odi,bat_t20,bow_test,bow_odi,bow_t20
Moises Henriques,Australia,1.87 m,"Feb 01, 1987 (35 years)","Funchal, Portugal",Batting Allrounder,"Australia, Australia A, New South Wales, Delhi Capitals, Mumbai Indians, Sydney Sixers, Glamorgan, Royal Challengers Bangalore, Sunrisers Hyderabad, Sydney Thunder, Kolkata Knight Riders, Surrey, Prime Ministers XI, Montreal Tigers, Punjab Kings, Glasgow Giants, Toronto Nationals",--,--,--,--,--,--
Marnus Labuschagne,Australia,--,"Jun 22, 1994 (28 years)","Klerksdorp, North West Province, South Africa",Batting Allrounder,"Australia, Queensland, Brisbane Heat, Australia A, Cricket Australia XI, Glamorgan, Finch XI",2,68,--,--,--,--
Travis Head,Australia,--,"Dec 29, 1993 (28 years)","Adelaide, South Australia",Batting Allrounder,"Australia U19, South Australia, Australia, Adelaide Strikers, Australians, National Performance Squad, Delhi Capitals, Australia A, Royal Challengers Bangalore, Yorkshire, Worcestershire, Sussex",14,30,--,--,--,--
Michael Neser,Australia,--,"Mar 29, 1990 (32 years)","Pretoria, South Africa",Batting Allrounder,"Australia, Brisbane Heat, Queensland, Adelaide Strikers, Punjab Kings, Cricket Australia XI, Australia A, National Performance Squad, Glamorgan, Prime Ministers XI",--,--,--,--,--,--
Ashton Agar,Australia,--,"Oct 14, 1993 (29 years)","Melbourne, Victoria",Bowling Allrounder,"Australia U19, Western Australia, Perth Scorchers, Australia, Australians, National Performance Squad, Australia A, Middlesex, Warwickshire, Cummins XI, Prime Ministers XI",--,--,--,--,85,26
Cameron Green,Australia,--,"Jun 03, 1999 (23 years)",--,Bowling Allrounder,"Cricket Australia XI, Western Australia, Perth Scorchers, Australia, Australia A",40,--,--,74,--,--
Daniel Sams,Australia,--,"Oct 27, 1992 (30 years)","Milperra, New South Wales",Bowling Allrounder,"Australia, Canterbury, Sydney Sixers, New South Wales, Sydney Thunder, Vancouver Knights, Delhi Capitals, Finch XI, Royal Challengers Bangalore, Mumbai Indians, Essex, Trent Rockets",--,--,--,--,--,--
Sean Abbott,Australia,--,"Feb 29, 1992 (30 years)","Windsor, New South Wales",Bowling Allrounder,"Brisbane Heat, Australia, Sydney Thunder, New South Wales, Sydney Sixers, National Performance Squad, Royal Challengers Bangalore, Australia A, Prime Ministers XI, Montreal Tigers, Cummins XI, Surrey, Sunrisers Hyderabad, Manchester Originals",--,--,--,--,97,--
Alex Carey,Australia,--,"Aug 27, 1991 (31 years)","Loxton, South Australia",WK-Batsman,"Australia, South Australia, Adelaide Strikers, Prime Ministers XI, Australia A, Sussex, Delhi Capitals, Cummins XI, Finch XI",60,22,--,--,--,--
Matthew Wade,Australia,1.70 m,"Dec 26, 1987 (34 years)","Hobart, Tasmania",WK-Batsman,"Australia, Victoria, Delhi Capitals, Melbourne Stars, Australians, Melbourne Renegades, Australia A, Warwickshire, Tasmania, Hobart Hurricanes, Cummins XI, Finch XI, Saint Lucia Kings, Gujarat Titans, Birmingham Phoenix",71,--,66,--,--,--
Tim Paine,Australia,1.80 m,"Dec 08, 1984 (37 years)","Hobart, Tasmania",WK-Batsman,"Australia, Australia A, Tasmania, Pune Warriors, Hobart Hurricanes, Cricket Australia XI, World XI",56,--,--,--,--,--
Pat Cummins,Australia,1.92 m,"May 08, 1993 (29 years)","Westmead, Sydney",Bowler,"Australia, New South Wales, Sydney Sixers, Perth Scorchers, Australia A, Kolkata Knight Riders, Sydney Thunder, Delhi Capitals, Mumbai Indians, Cummins XI",--,--,--,1,17,46
Nathan Lyon,Australia,1.81 m,"Nov 20, 1987 (35 years)","Young, New South Wales",Bowler,"South Australia, Australia, Adelaide Strikers, Australians, New South Wales, Sydney Sixers, Australia A, Sydney Thunder, Worcestershire, Prime Ministers XI, Ponting XI, Finch XI",--,--,--,16,--,--
Mitchell Starc,Australia,1.96 m,"Jan 30, 1990 (32 years)","Baulkham Hills, Sydney, New South Wales",Bowler,"Australia, New South Wales, Sydney Sixers, Yorkshire, Australians, Royal Challengers Bangalore, Sydney Thunder, Kolkata Knight Riders, Australia A, Finch XI",100,--,--,10,3,44
Adam Zampa,Australia,--,"Mar 31, 1992 (30 years)","Shellharbour, New South Wales",Bowler,"Australia, New South Wales, Sydney Thunder, South Australia, Adelaide Strikers, Australia A, Melbourne Stars, Rising Pune Supergiant, Guyana Amazon Warriors, Essex, Jamaica Tallawahs, Cummins XI, Royal Challengers Bangalore, Birmingham Phoenix, Welsh Fire",--,--,--,--,6,7
Josh Hazlewood,Australia,1.96 m,"Jan 08, 1991 (31 years)","Tamworth, New South Wales",Bowler,"Australia, Australia U19, New South Wales, Sydney Sixers, Australia A, Mumbai Indians, Chennai Super Kings, Cummins XI, Finch XI, Royal Challengers Bangalore",--,--,--,12,2,4
Andrew Tye,Australia,--,"Dec 12, 1986 (35 years)","Perth, Western Australia",Bowler,"Australia, Western Australia Chairmans XI, Sydney Thunder, Western Australia, Perth Scorchers, Chennai Super Kings, Gujarat Lions, Gloucestershire, Punjab Kings, Cricket Australia XI, Australia A, Rajasthan Royals, World XI, Finch XI, Lucknow Super Giants, Durham, Western Australia XI, Team Abu Dhabi",--,--,--,--,--,--
James Pattinson,Australia,--,"May 03, 1990 (32 years)","Melbourne, Victoria",Bowler,"Australia, Victoria, Kolkata Knight Riders, Melbourne Stars, Rangpur Riders, Australians, Melbourne Renegades, Australia A, Prime Ministers XI, Nottinghamshire, Brisbane Heat, Mumbai Indians",--,--,--,--,--,--
Mitchell Swepson,Australia,--,"Oct 04, 1993 (29 years)",--,Bowler,"Cricket Australia XI, Queensland, Brisbane Heat, Australia A, National Performance Squad, Australia, Prime Ministers XI",--,--,--,97,--,--
Tamim Iqbal,Bangladesh,--,"Mar 20, 1989 (33 years)",Chittagong,Batsman,"Bangladesh, Asia XI, Nottinghamshire, Chittagong Kings, Pune Warriors, Wayamba United, Duronto Rajshahi, Saint Lucia Kings, Rest of the World XI, Chittagong Vikings, Peshawar Zalmi, Essex, World XI, Comilla Victorians, Nangarhar Leopards, Bangladesh Cricket Board XI, Dhaka Platoon, Lahore Qalandars, Fortune Barishal, Minister Group Dhaka",41,13,--,--,--,--
Soumya Sarkar,Bangladesh,--,"Feb 25, 1993 (29 years)",Satkhira,Batsman,"Bangladesh, Duronto Rajshahi, Dhaka Gladiators, Bangladesh A, Rangpur Riders, BCB Select XI, Bangladesh Cricket Board XI, Chittagong Vikings, Kandahar Knights, Rajshahi Kings, Bangladesh U23, Cumilla Warriors, Gazi Group Chattogram, Khulna Tigers",--,72,--,--,--,--
Sabbir Rahman,Bangladesh,--,"Nov 22, 1991 (31 years)",Rajsahi,Batsman,"Bangladesh, Duronto Rajshahi, Barisal Burners, Bangladesh A, Bangladesh Cricket Board XI, Barisal Bulls, Rajshahi Kings, Sylhet Sixers, Peshawar Zalmi, Cumilla Warriors, Beximco Dhaka, Chattogram Challengers",--,--,--,--,--,--
Mahmudullah,Bangladesh,--,"Feb 04, 1986 (36 years)",Mymensingh,Batting Allrounder,"Bangladesh, Chittagong Kings, Basnahira Cricket Dundee, Barisal Bulls, Khulna Titans, Quetta Gladiators, Jamaica Tallawahs, Bangladesh Cricket Board XI, St Kitts and Nevis Patriots, Chattogram Challengers, Asia XI, Gemcon Khulna, Minister Group Dhaka",61,35,65,98,--,--
Shakib Al Hasan,Bangladesh,--,"Mar 24, 1987 (35 years)","Magura, Jessore",Batting Allrounder,"Bangladesh, Worcestershire, Kolkata Knight Riders, Khulna Royal Bengals, Uthura Rudras, Dhaka Gladiators, Leicestershire, Barbados Royals, Adelaide Strikers, Melbourne Renegades, Rangpur Riders, Karachi Kings, Jamaica Tallawahs, Dhaka Dynamites, Peshawar Zalmi, Sunrisers Hyderabad, World XI, Brampton Wolves, Gemcon Khulna, Fortune Barishal, Guyana Amazon Warriors, Bangla Tigers",43,33,63,31,16,32
Mosaddek Hossain,Bangladesh,--,"Dec 10, 1995 (26 years)",Mymensingh,Batting Allrounder,"Bangladesh U19, Bangladesh, Bangladesh Cricket Board XI, Dhaka Dynamites, Bangladesh A, Chittagong Vikings, Bangladesh U23, Sylhet Thunder, Gazi Group Chattogram, Maratha Arabians, Sylhet Sunrisers",--,--,--,--,--,--
Mohammad Saifuddin,Bangladesh,--,"Nov 01, 1996 (26 years)","Feni, Chittagong",Bowling Allrounder,"Bangladesh U19, Comilla Victorians, Bangladesh, Bangladesh U23, Bangladesh Cricket Board XI, Bangladesh A, Minister Group Rajshahi",--,--,--,--,80,--
Mehidy Hasan Miraz,Bangladesh,--,"Oct 25, 1997 (25 years)",Khulna,Bowling Allrounder,"Bangladesh U19, Bangladesh Cricket Board XI, Bangladesh, Rajshahi Kings, Trinbago Knight Riders, Bangladesh A, Khulna Tigers, Fortune Barishal, Chattogram Challengers",--,--,--,32,7,--
Mushfiqur Rahim,Bangladesh,--,"Jun 09, 1987 (35 years)",Bogra,WK-Batsman,"Bangladesh, Duronto Rajshahi, Nagenahira Nagas, Sylhet Royals, Bangladesh Cricket Board XI, Sylhet Super Stars, Karachi Kings, BCB Select XI, Barisal Bulls, Rajshahi Kings, Nangarhar Leopards, Chittagong Vikings, Khulna Tigers, Asia XI, Beximco Dhaka",19,17,--,--,--,--
Litton Das,Bangladesh,--,"Oct 13, 1994 (28 years)",Dinajpur,WK-Batsman,"Bangladesh U19, Dhaka Gladiators, Bangladesh, Bangladesh A, Bangladesh Cricket Board XI, Comilla Victorians, Sylhet Sixers, Jamaica Tallawahs, Rajshahi Royals, Asia XI, Gazi Group Chattogram",13,29,32,--,--,--
Mohammad Mithun,Bangladesh,--,"Mar 02, 1991 (31 years)",--,WK-Batsman,"Barisal Burners, Khulna Royal Bengals, Bangladesh, Bangladesh A, Rangpur Riders, Bangladesh U23, Kandahar Knights, Bangladesh Cricket Board XI, Sylhet Thunder, Gazi Group Chattogram, Sylhet Sunrisers",--,--,--,--,--,--
Mashrafe Mortaza,Bangladesh,--,"Oct 05, 1983 (39 years)","Norail, Jessore",Bowler,"Bangladesh, Asia XI, Kolkata Knight Riders, Dhaka Gladiators, Bangladesh Cricket Board XI, Comilla Victorians, Rangpur Riders, Dhaka Platoon, Gemcon Khulna, Minister Group Dhaka, World Giants, India Capitals",--,--,--,--,--,--
Rubel Hossain,Bangladesh,--,"Jan 01, 1990 (32 years)","Bagerhat, Khulna",Bowler,"Bangladesh, Sylhet Royals, Chittagong Kings, Bangladesh A, Sylhet Super Stars, Bangladesh Cricket Board XI, Rangpur Riders, Dhaka Dynamites, Chattogram Challengers, Beximco Dhaka, Minister Group Dhaka",--,--,--,--,--,--
Mustafizur Rahman,Bangladesh,--,"Sep 06, 1995 (27 years)",Satkhira,Bowler,"Bangladesh, Bangladesh U19, Dhaka Dynamites, Lahore Qalandars, Sunrisers Hyderabad, Sussex, Rajshahi Kings, Mumbai Indians, Bangladesh A, Rangpur Rangers, Asia XI, Gazi Group Chattogram, Rajasthan Royals, Comilla Victorians, Delhi Capitals, Team Abu Dhabi",--,--,--,81,9,35
Abu Jayed,Bangladesh,--,"Aug 02, 1993 (29 years)",Sylhet,Bowler,"Bangladesh U19, Rangpur Riders, Bangladesh Cricket Board XI, Dhaka Dynamites, Bangladesh, Khulna Titans, Chittagong Vikings, Bangladesh A, Rajshahi Royals, Fortune Barishal",--,--,--,78,--,--
Darren Bravo,West Indies,--,"Feb 06, 1989 (33 years)",Trinidad,Batsman,"West Indies, Nottinghamshire, Trinidad and Tobago, Deccan Chargers, Trinbago Knight Riders, Kolkata Knight Riders, Comilla Victorians, Multan Sultans, Winnipeg Hawks, West Indies A, West Indies Cricket Board President XI, West Indians, The Chennai Braves, St Kitts and Nevis Patriots",--,--,--,--,--,--
Chris Gayle,West Indies,--,"Sep 21, 1979 (43 years)","Kingston, Jamaica",Batsman,"West Indies, ICC World XI, Kolkata Knight Riders, Stanford Superstars, Western Australia, Royal Challengers Bangalore, Sydney Thunder, Barisal Burners, Somerset, Uva Next, Dhaka Gladiators, Jamaica Tallawahs, Dolphins, Lions, Barisal Bulls, Melbourne Renegades, Lahore Qalandars, Chittagong Vikings, Karachi Kings, St Kitts and Nevis Patriots, Cape Town Knight Riders, Rangpur Riders, Punjab Kings, Vancouver Knights, UWI Vice Chancellors XI, Balkh Legends, Jozi Stars, Kerala Knights, Chattogram Challengers, World XI, Kandy Tuskers, Team Abu Dhabi, Quetta Gladiators, Colombo Stars, Fortune Barishal, Gujarat Giants",--,--,--,--,--,--
Evin Lewis,West Indies,--,"Dec 27, 1991 (30 years)","Port of Spain, Trinidad",Batsman,"West Indies, Trinidad and Tobago, Trinbago Knight Riders, St Kitts and Nevis Patriots, Barisal Bulls, West Indies Cricket Board President XI, West Indies A, Dhaka Dynamites, UWI Vice Chancellors XI, Mumbai Indians, Vancouver Knights, Comilla Victorians, Punjabi Legends, Pune Devils, Delhi Bulls, Rajasthan Royals, Lucknow Super Giants, Jaffna Kings, Bangla Tigers, Sharjah Warriors",--,79,67,--,--,--
Shimron Hetmyer,West Indies,--,"Dec 26, 1996 (25 years)","Cumberland, Berbice, Guyana",Batsman,"West Indies U19, Guyana Amazon Warriors, West Indies Cricket Board President XI, West Indies A, UWI Vice Chancellors XI, West Indies, Royal Challengers Bangalore, Delhi Capitals, West Indians, Multan Sultans, Quetta Gladiators, Rajasthan Royals, Morrisville Samp Army, Gulf Giants",--,58,98,--,--,--
Fabian Allen,West Indies,--,"May 07, 1995 (27 years)","Kingston, Jamaica",Batting Allrounder,"West Indies U19, Jamaica Tallawahs, St Kitts and Nevis Patriots, CWI B Team, West Indies, Sylhet Sixers, Kerala Knights, Pune Devils, Sunrisers Hyderabad, Multan Sultans, West Indies A, Northern Warriors, Punjab Kings, Peshawar Zalmi, Mumbai Indians, Kandy Warriors, Team Abu Dhabi, Kandy Falcons, Dubai Capitals",--,--,--,--,--,94
Jason Holder,West Indies,--,"Nov 05, 1991 (31 years)",Barbados,Bowling Allrounder,"West Indies, West Indies A, Chennai Super Kings, Barbados Royals, Sunrisers Hyderabad, Quetta Gladiators, Kolkata Knight Riders, Comilla Victorians, West Indies Cricket Board President XI, UWI Vice Chancellors XI, Northamptonshire, WI Holder XI, West Indians, Sydney Sixers, Lucknow Super Giants, Durban Super Giants",63,--,--,19,59,37
Andre Russell,West Indies,--,"Apr 29, 1988 (34 years)",Jamaica,Bowling Allrounder,"West Indies, Khulna Royal Bengals, Delhi Capitals, Sylhet Royals, Jamaica Tallawahs, Worcestershire, West Indies A, Kolkata Knight Riders, Knights, Melbourne Renegades, Comilla Victorians, Sydney Thunder, Islamabad United, Nottinghamshire, Dhaka Dynamites, Vancouver Knights, UWI Vice Chancellors XI, Nangarhar Leopards, Northern Warriors, Multan Sultans, Rajshahi Royals, Colombo Kings, Southern Brave, Quetta Gladiators, Deccan Gladiators, Melbourne Stars, Minister Group Dhaka, Manchester Originals, Trinbago Knight Riders, Abu Dhabi Knight Riders",--,--,--,--,--,--
Carlos Brathwaite,West Indies,--,"Jul 18, 1988 (34 years)",Barbados,Bowling Allrounder,"West Indies, Barbados Royals, Antigua Hawksbills, St Kitts and Nevis Patriots, Delhi Capitals, Barisal Bulls, Sydney Thunder, West Indies Cricket Board President XI, UWI Vice Chancellors XI, Khulna Titans, Sydney Sixers, Sunrisers Hyderabad, Kent, Rajputs, Kolkata Knight Riders, Lahore Qalandars, Peshawar Zalmi, Jamaica Tallawahs, Dambulla Viiking, Multan Sultans, Warwickshire, Manchester Originals, Warwickshire, Kandy Warriors, The Chennai Braves, Kandy Falcons",--,--,--,--,--,--
Shai Hope,West Indies,--,"Nov 10, 1993 (29 years)",Barbados,WK-Batsman,"West Indies, Barbados Royals, West Indies Cricket Board President XI, UWI Vice Chancellors XI, Rangpur Rangers, WI Brathwaite XI, Guyana Amazon Warriors",94,12,--,--,--,--
Nicholas Pooran,West Indies,--,"Oct 02, 1995 (27 years)",Trinidad,WK-Batsman,"Trinidad and Tobago, Trinbago Knight Riders, West Indies U19, St Kitts and Nevis Patriots, Barbados Royals, West Indies, Khulna Titans, Mumbai Indians, Islamabad United, City Kaitak, West Indies Cricket Board President XI, Joburg Giants, Multan Sultans, CWI B Team, Sylhet Sixers, Northern Warriors, Punjab Kings, Guyana Amazon Warriors, Yorkshire, World XI, Melbourne Stars, West Indies A, Manchester Originals, The Chennai Braves, Sunrisers Hyderabad, Deccan Gladiators, MI Emirates",--,28,18,--,--,--
Sheldon Cottrell,West Indies,--,"Aug 19, 1989 (33 years)",Jamaica,Bowler,"West Indies, Antigua Hawksbills, West Indies A, St Kitts and Nevis Patriots, West Indies Cricket Board President XI, Vancouver Knights, Rangpur Riders, Sylhet Thunder, Punjab Kings, World XI, Team Abu Dhabi, Dambulla Giants, Morrisville Samp Army, Desert Vipers",--,--,--,--,65,77
Shannon Gabriel,West Indies,--,"Apr 28, 1988 (34 years)",Trinidad,Bowler,"West Indies, Trinidad and Tobago, Barbados Royals, Trinbago Knight Riders, Saint Lucia Kings, Worcestershire, West Indies Cricket Board President XI, Gloucestershire, WI Holder XI, West Indians, Yorkshire",--,--,--,34,--,--
Kemar Roach,West Indies,--,"Jun 30, 1988 (34 years)","St. Lucy, Barbados",Bowler,"West Indies, Deccan Chargers, Worcestershire, Wayamba United, Brisbane Heat, Antigua Hawksbills, Saint Lucia Kings, West Indies Cricket Board President XI, West Indies A, Jamaica Tallawahs, WI Holder XI, West Indians, Surrey",--,--,--,8,--,--
Ashley Nurse,West Indies,--,"Dec 22, 1988 (33 years)","Gibbons, Christ Church, Barbados",Bowler,"West Indies, Barbados Royals, West Indies A, West Indies Cricket Board President XI, UWI Vice Chancellors XI, Trinbago Knight Riders, Montreal Tigers, India Capitals",--,--,--,--,--,--
Oshane Thomas,West Indies,--,"Feb 18, 1997 (25 years)",--,Bowler,"Jamaica Tallawahs, West Indies A, West Indies, Rangpur Riders, Rajputs, Rajasthan Royals, Desert Riders, West Indies Cricket Board President XI, WI Brathwaite XI, Barbados Royals, Rajasthan Royals, Northern Warriors, Comilla Victorians, Kandy Falcons",--,--,--,--,--,--
Craig Ervine,Zimbabwe,--,"Aug 19, 1985 (37 years)",Harare,Batsman,"Zimbabwe, Zimbabwe A, Zimbabwe XI",--,94,99,--,--,--
Hamilton Masakadza,Zimbabwe,--,"Aug 09, 1983 (39 years)",Harare,Batting Allrounder,"Zimbabwe, Sylhet Royals, Zimbabwe A, World Giants, India Capitals",--,--,--,--,--,--
Sikandar Raza,Zimbabwe,--,"Apr 24, 1986 (36 years)","Sialkot, Punjab, Pakistan",Batting Allrounder,"Zimbabwe, Zimbabwe A, Chittagong Vikings, Montreal Tigers, Paktia Panthers, Tshwane Spartans, Karachi Kings, Amsterdam Knights, Northern Warriors, Heat Stormers, Trinbago Knight Riders, Zimbabwe Select XI, Khulna Tigers, Zimbabwe XI, The Chennai Braves, Dambulla Giants, Dubai Capitals",51,32,70,69,76,78
Sean Williams,Zimbabwe,--,"Sep 26, 1986 (36 years)",Bulawayo,Batting Allrounder,"Zimbabwe, Zimbabwe A, Tshwane Spartans, Rangpur Riders",32,54,78,100,--,91
Solomon Mire,Zimbabwe,--,"Aug 21, 1989 (33 years)",Harare,Batting Allrounder,"Zimbabwe, Melbourne Renegades, Comilla Victorians, India Capitals",--,--,--,--,--,--
Brian Chari,Zimbabwe,--,"Feb 14, 1992 (30 years)",--,Batting Allrounder,"Zimbabwe, Zimbabwe A, Zimbabwe Chairmans XI",--,--,--,--,--,--
Timycen Maruma,Zimbabwe,--,"Apr 19, 1988 (34 years)",Harare,Batting Allrounder,"Zimbabwe, Zimbabwe A, Zimbabwe Select XI",--,--,--,--,--,--
Elton Chigumbura,Zimbabwe,--,"Mar 14, 1986 (36 years)","Kwekwe, Midlands",Bowling Allrounder,"Zimbabwe, Africa XI, Northamptonshire, Sylhet Royals, Barbados Royals, Chittagong Vikings, Quetta Gladiators, Zimbabwe A, Gujarat Giants",--,--,--,--,--,--
Regis Chakabva,Zimbabwe,--,"Sep 20, 1987 (35 years)",Harare,WK-Batsman,"Zimbabwe, Zimbabwe A, Zimbabwe XI",81,--,--,--,--,--
Brendan Taylor,Zimbabwe,--,"Feb 06, 1986 (36 years)",Harare,WK-Batsman,"Zimbabwe, Chittagong Kings, Uthura Rudras, Sunrisers Hyderabad, Nottinghamshire, Barisal Bulls, Leo Lions, Stellenbosch Kings, Khulna Titans, Maratha Arabians, Lahore Qalandars, World XI, Multan Sultans, Kandy Tuskers, World Giants",--,--,--,--,--,--
Peter Moor,Zimbabwe,--,"Feb 02, 1991 (31 years)",Harare,WK-Batsman,"Zimbabwe, Zimbabwe A, Marylebone Cricket Club",--,--,--,--,--,--
Tendai Chatara,Zimbabwe,--,"Feb 28, 1991 (31 years)",Chimaniamani,Bowler,"Zimbabwe, Zimbabwe A, Zimbabwe XI",--,--,--,--,83,66
Donald Tiripano,Zimbabwe,--,"Mar 17, 1988 (34 years)",Mutare,Bowler,"Zimbabwe, Zimbabwe A, Zimbabwe XI",--,--,--,83,--,--
Chris Mpofu,Zimbabwe,--,"Nov 27, 1985 (37 years)","Plumtree, Matabeleland",Bowler,"Zimbabwe, Zimbabwe A, Manipal Tigers",--,--,--,--,--,--
Kyle Jarvis,Zimbabwe,--,"Feb 16, 1989 (33 years)",Harare,Bowler,"Zimbabwe, Lancashire, Leo Lions",--,--,--,--,--,--
Brandon Mavuta,Zimbabwe,--,"Mar 04, 1997 (25 years)",Kadoma,Bowler,"Zimbabwe U19, Zimbabwe A, Zimbabwe, Durban Heat",--,--,--,--,--,--
Kila Pala,Papua New Guinea,--,"May 16, 1985 (37 years)","Port Moresby, Papua New Guinea",Batsman,Papua New Guinea,--,--,--,--,--,--
Charles Amini,Papua New Guinea,--,"Apr 14, 1992 (30 years)",Port Moresby,Batting Allrounder,Papua New Guinea,--,--,--,--,--,--
Mahuru Dai,Papua New Guinea,--,"May 30, 1984 (38 years)",Port Moresby,Batting Allrounder,Papua New Guinea,--,--,--,--,--,--
Vani Morea,Papua New Guinea,--,"Mar 13, 1983 (39 years)","Port Moresby, Papua New Guinea",Batting Allrounder,Papua New Guinea,--,--,--,--,--,--
Lega Siaka,Papua New Guinea,--,"Dec 21, 1992 (29 years)",Port Moresby,Batting Allrounder,"Papua New Guinea U19, Papua New Guinea, Melbourne Renegades",--,--,--,--,--,--
Assad Vala,Papua New Guinea,--,"Aug 05, 1987 (35 years)",Papua New Guinea,Batting Allrounder,"Papua New Guinea, Galaxy Gladiators Lantau",--,43,--,--,81,--
Assad Vala,Papua New Guinea,--,"Aug 05, 1987 (35 years)",Papua New Guinea,Batting Allrounder,"Papua New Guinea, Galaxy Gladiators Lantau",--,43,--,--,81,--
Chris Amini,Papua New Guinea,--,"Jun 12, 1984 (38 years)",Port Moresby,Bowling Allrounder,Papua New Guinea,--,--,--,--,--,--
Sese Bau,Papua New Guinea,--,"Jun 23, 1992 (30 years)",--,Bowling Allrounder,"Papua New Guinea U19, Papua New Guinea",--,--,90,--,--,--
Willie Gavera,Papua New Guinea,--,"Aug 18, 1988 (34 years)",Papua New Guinea,Bowling Allrounder,Papua New Guinea,--,--,--,--,--,--
Pipi Raho,Papua New Guinea,--,"Mar 04, 1988 (34 years)",Port Morseby,Bowling Allrounder,Papua New Guinea,--,--,--,--,--,--
John Reva,Papua New Guinea,--,"Sep 23, 1990 (32 years)",Port Moresby,Bowling Allrounder,Papua New Guinea,--,--,--,--,--,--
Norman Vanua,Papua New Guinea,--,"Dec 02, 1993 (29 years)",--,Bowling Allrounder,"Papua New Guinea U19, Papua New Guinea",--,--,100,--,--,--
Dogodo Bau,Papua New Guinea,--,"Dec 05, 1994 (27 years)",--,WK-Batsman,"Papua New Guinea U19, Papua New Guinea",--,--,--,--,--,--
Geraint Jones,Papua New Guinea,5 ft 10 in,"Jul 14, 1976 (46 years)","Kundiawa, Papua New Guinea",WK-Batsman,"England, Kent, Gloucestershire, Papua New Guinea, Capricorn Commanders",--,--,--,--,--,--
Tony Ura,Papua New Guinea,--,"Oct 15, 1989 (33 years)",Papua New Guinea,WK-Batsman,Papua New Guinea,--,--,41,--,--,--
Jack Vare,Papua New Guinea,--,"Feb 14, 1986 (36 years)",Papua New Guinea,WK-Batsman,Papua New Guinea,--,--,--,--,--,--
Hiri Hiri,Papua New Guinea,--,"May 01, 1995 (27 years)",--,Bowler,"Papua New Guinea U19, Papua New Guinea",--,--,--,--,--,--
Nosaina Pokana,Papua New Guinea,--,"Apr 12, 1996 (26 years)",--,Bowler,"Papua New Guinea U19, Papua New Guinea",--,--,--,--,--,--
Chad Soper,Papua New Guinea,--,"Nov 19, 1991 (31 years)",Port Moresby,Bowler,"Papua New Guinea U19, Papua New Guinea",--,--,--,--,55,--
Jatinder Singh,Oman,--,"Mar 05, 1989 (33 years)",--,Batsman,Oman,--,64,73,--,--,--
Vaibhav Wategaonkar,Oman,--,"Aug 30, 1982 (40 years)","Mumbai, India",Batsman,Oman,--,--,--,--,--,--
Zeeshan Siddiqui,Oman,--,"Jul 22, 1979 (43 years)","Karachi, Sind, Pakistan",Batsman,Oman,--,--,--,--,--,--
Zeeshan Maqsood,Oman,--,"Oct 24, 1987 (35 years)",--,Batting Allrounder,Oman,--,62,75,--,49,--
Amir Ali,Oman,--,"Nov 24, 1978 (44 years)","Karachi, Sind",Batting Allrounder,Oman,--,--,--,--,--,--
Khawar Ali,Oman,--,"Dec 20, 1985 (36 years)",Pakistan,Batting Allrounder,Oman,--,--,--,--,96,96
Mehran Khan,Oman,--,"Apr 13, 1987 (35 years)",--,Bowling Allrounder,"Oman, Pearl Gladiators",--,--,--,--,--,--
Twinkal Bhandari,Oman,--,"Oct 16, 1987 (35 years)","Vapi, Gujarat",WK-Batsman,Oman,--,--,--,--,--,--
Ajay Lalcheta,Oman,--,"Oct 22, 1983 (39 years)","Gujarat, India",Bowler,"Oman, Desert Riders",--,--,--,--,--,--
Sufyan Mehmood,Oman,--,"Oct 21, 1991 (31 years)",--,Bowler,"Oman, Swift Gallopers",--,--,--,--,--,--
Rajeshkumar Ranpura,Oman,--,"Jul 17, 1983 (39 years)","Palanpur, Gujarat, India",Bowler,Oman,--,--,--,--,--,--
Munis Ansari,Oman,--,"Apr 01, 1984 (38 years)","Sehore, Madhya Pradesh, India",Bowler,"Oman, Pune Devils",--,--,--,--,--,--
Mohammad Nadeem,Oman,--,"Sep 04, 1982 (40 years)","Sialkot, Pakistan",Bowler,"Oman, Desert Riders",--,--,--,--,--,--
Swapnil Khadye,Oman,--,--,--,--,Oman,--,--,--,--,--,--
Trevin Bastiampillai,Canada,--,"Oct 26, 1985 (37 years)",Sri Lanka,Batsman,Canada,--,--,--,--,--,--
Tyson Gordon,Canada,--,"Jan 31, 1982 (40 years)",--,Batsman,Canada,--,--,--,--,--,--
Ruvindu Gunasekera,Canada,--,"Jul 20, 1991 (31 years)",Colombo,Batsman,"Canada, Dambulla, Vancouver Knights, Montreal Tigers",--,--,--,--,--,--
Jimmy Hansra,Canada,--,"Dec 29, 1984 (37 years)","Ludhiana, India",Batsman,Canada,--,--,--,--,--,--
Junaid Siddique,Canada,--,"Oct 30, 1987 (35 years)",Rajshahi,Batsman,"Bangladesh, Duronto Rajshahi, Rangpur Riders, Bangladesh A, Sylhet Super Stars, Rajshahi Kings, Khulna Titans, Chattogram Challengers",--,--,--,--,--,97
Nitish Kumar,Canada,--,"May 21, 1994 (28 years)","Scarborough, Ontario",Batsman,"Canada, Canada U19, Saint Lucia Kings, Toronto Nationals, Brampton Wolves",--,--,--,--,--,--
Hiral Patel,Canada,--,"Aug 10, 1991 (31 years)","Ahmedabad, Gujarat, India",Batsman,"Canada, Winnipeg Hawks",--,--,--,--,--,--
