name,team,height,date_of_birth,birth_place,role,teams,bat_test,bat_odi,bat_t20,bow_test,bow_odi,bow_t20
Craig Wallace,Scotland,--,"Jun 27, 1990 (32 years)","Dundee, Angus",WK-Batsman,"Scotland, Edinburgh Rocks",--,--,--,--,--,--
Mark Watt,Scotland,--,"Jul 29, 1996 (26 years)","Eastern General Hospital, Edinburgh",Bowler,"Scotland, Scotland U19, Marylebone Cricket Club, Lancashire, Derbyshire, Edinburgh Rocks, Northern Warriors",--,--,--,--,21,29
Safyaan Sharif,Scotland,--,"May 24, 1991 (31 years)","Huddersfield, Yorkshire",Bowler,"Scotland, Derbyshire, Edmonton Royals, Glasgow Giants, Kent",--,--,--,--,71,73
Chris Sole,Scotland,--,"Feb 27, 1994 (28 years)",--,Bowler,"Scotland, Scotland U19, Hampshire",--,--,--,--,--,--
Gavin Main,Scotland,--,"Feb 28, 1995 (27 years)",Lanark,Bowler,"Scotland, Scotland U19, Durham, Edinburgh Rocks",--,--,--,--,--,--
Brad Wheal,Scotland,--,"Aug 28, 1996 (26 years)","Durban, KwaZulu-Natal",Bowler,"England, Hampshire, Scotland, London Spirit, Gloucestershire, Warwickshire, MI Emirates",--,--,--,--,--,--
Delyone Borden,Bermuda,--,"Mar 04, 1985 (37 years)",Bermuda,Batsman,Bermuda,--,--,--,--,--,--
James Celestine,Bermuda,--,"Oct 13, 1973 (49 years)",Grenada,Batsman,Bermuda,--,--,--,--,--,--
Fiqre Crockwell,Bermuda,--,"Jul 08, 1985 (37 years)",Bermuda,Batsman,Bermuda,--,--,--,--,--,--
Chris Foggo,Bermuda,--,"May 07, 1982 (40 years)","Hamilton, Bermuda",Batsman,Bermuda,--,--,--,--,--,--
David Hemp,Bermuda,6 ft 1 in,"Nov 08, 1970 (52 years)","Hamilton, Bermuda",Batsman,Bermuda,--,--,--,--,--,--
Kyle Hodsoll,Bermuda,--,"Nov 24, 1988 (34 years)",Bermuda,Batsman,Bermuda,--,--,--,--,--,--
Steven Outerbridge,Bermuda,--,"May 20, 1983 (39 years)","Paget, Bermuda",Batsman,Bermuda,--,--,--,--,--,--
Azeem Pitcher,Bermuda,--,"Jul 31, 1980 (42 years)",Trinidad,Batsman,Bermuda,--,--,--,--,--,--
Tamauri Tucker,Bermuda,--,"Dec 10, 1988 (33 years)",Bermuda,Batsman,Bermuda,--,--,--,--,--,--
Malachi Jones,Bermuda,--,"Jun 26, 1989 (33 years)",Bermuda,Batting Allrounder,Bermuda,--,--,--,--,--,--
Oliver Pitcher,Bermuda,--,"May 27, 1983 (39 years)","Paget, Bermuda",Batting Allrounder,Bermuda,--,--,--,--,--,--
Rodney Trott,Bermuda,--,"Sep 08, 1987 (35 years)",Bermuda,Batting Allrounder,Bermuda,--,--,--,--,--,--
Janeiro Tucker,Bermuda,--,"Mar 15, 1975 (47 years)",Bermuda,Batting Allrounder,Bermuda,--,--,--,--,--,--
Jekon Edness,Bermuda,--,"Sep 13, 1983 (39 years)",Bermuda,WK-Batsman,Bermuda,--,--,--,--,--,--
Oronde Bascome,Bermuda,--,"Mar 08, 1988 (34 years)",Bermuda,Bowler,Bermuda,--,--,--,--,--,--
Chris Douglas,Bermuda,--,"Nov 20, 1989 (33 years)",Bermuda,Bowler,Bermuda,--,--,--,--,--,--
Dennico Hollis,Bermuda,--,"Aug 17, 1988 (34 years)",Bermuda,Bowler,Bermuda,--,--,--,--,--,--
Kevin Hurdle,Bermuda,--,"Dec 30, 1976 (45 years)",Bermuda,Bowler,Bermuda,--,--,--,--,--,--
Stefan Kelly,Bermuda,--,"Aug 24, 1988 (34 years)",Bermuda,Bowler,Bermuda,--,--,--,--,--,--
Chris Lonsdale,Bermuda,--,"Sep 15, 1987 (35 years)",Bermuda,Bowler,Bermuda,--,--,--,--,--,--
George O Brien,Bermuda,--,"Sep 16, 1984 (38 years)",Bermuda,Bowler,Bermuda,--,--,--,--,--,--
Jacobi Robinson,Bermuda,--,"Dec 31, 1984 (37 years)",Bermuda,Bowler,Bermuda,--,--,--,--,--,--
McLaren Smith,Bermuda,--,"Aug 31, 1991 (31 years)",--,Bowler,Bermuda,--,--,--,--,--,--
Ryan Steede,Bermuda,--,"Sep 11, 1975 (47 years)",Bermuda,Bowler,Bermuda,--,--,--,--,--,--
Glenn Blakeney,Bermuda,--,"Feb 22, 1973 (49 years)",Bermuda,--,Bermuda,--,--,--,--,--,--
Irving Romaine,Bermuda,--,"Aug 08, 1972 (50 years)",Bermuda,--,Bermuda,--,--,--,--,--,--
