Bat_Test_M,Bat_Test_Inn,Bat_Test_NO,Bat_Test_Runs,Bat_Test_HS,Bat_Test_Avg,Bat_Test_BF,Bat_Test_SR,Bat_Test_100,Bat_Test_200,Bat_Test_50,Bat_Test_4s,Bat_Test_6s,Bat_ODI_M,Bat_ODI_Inn,Bat_ODI_NO,Bat_ODI_Runs,Bat_ODI_HS,Bat_ODI_Avg,Bat_ODI_BF,Bat_ODI_SR,Bat_ODI_100,Bat_ODI_200,Bat_ODI_50,Bat_ODI_4s,Bat_ODI_6s,Bat_T20I_M,Bat_T20I_Inn,Bat_T20I_NO,Bat_T20I_Runs,Bat_T20I_HS,Bat_T20I_Avg,Bat_T20I_BF,Bat_T20I_SR,Bat_T20I_100,Bat_T20I_200,Bat_T20I_50,Bat_T20I_4s,Bat_T20I_6s,Bat_IPL_M,Bat_IPL_Inn,Bat_IPL_NO,Bat_IPL_Runs,Bat_IPL_HS,Bat_IPL_Avg,Bat_IPL_BF,Bat_IPL_SR,Bat_IPL_100,Bat_IPL_200,Bat_IPL_50,Bat_IPL_4s,Bat_IPL_6s
55,84,14,834,47,11.91,1704,48.94,0,0,0,110,14,87,35,15,315,31,15.75,381,82.68,0,0,0,26,7,54,21,14,147,22,21.0,134,109.7,0,0,0,12,5,63,26,11,186,44,12.4,177,105.08,0,0,0,16,6
15,23,9,56,14,4.0,161,34.78,0,0,0,10,0,40,14,9,62,19,12.4,104,59.62,0,0,0,4,4,36,8,3,16,4,3.2,30,53.33,0,0,0,1,0,14,-,-,-,-,-,-,-,-,-,-,-,-
2,4,3,20,18,20.0,48,41.67,0,0,0,2,0,39,7,6,17,9,17.0,31,54.84,0,0,0,1,0,59,12,8,9,4,2.25,24,37.5,0,0,0,0,0,5,1,1,2,2,0.0,4,50.0,0,0,0,0,0
1,2,1,9,5,9.0,18,50.0,0,0,0,1,0,8,3,1,6,3,3.0,19,31.58,0,0,0,0,0,19,5,2,18,12,6.0,23,78.26,0,0,0,0,1,7,3,2,1,1,1.0,3,33.33,0,0,0,0,0
47,89,1,2586,189,29.39,5548,46.61,3,0,17,326,23,198,195,18,7346,237,41.5,8414,87.31,18,1,39,751,187,122,118,7,3531,105,31.81,2602,135.7,2,0,20,310,173,13,13,1,270,50,22.5,196,137.76,0,0,1,24,15
112,196,22,7684,290,44.16,12957,59.3,19,3,35,932,55,236,220,39,8602,181,47.52,10331,83.26,21,0,51,712,147,102,94,19,1909,63,25.45,1560,122.37,0,0,7,122,71,55,54,14,1017,81,25.43,822,123.72,0,0,3,66,46
88,154,14,7368,251,52.63,14378,51.24,24,4,33,818,17,158,150,16,6391,148,47.69,7887,81.03,13,0,40,580,51,87,85,11,2464,95,33.3,2005,122.89,0,0,17,230,57,76,75,17,2101,89,36.22,1667,126.03,0,0,18,181,64
48,73,6,2603,174,38.85,5314,48.98,8,0,12,291,4,58,56,11,1590,124,35.33,1928,82.47,1,0,13,147,14,10,9,1,100,36,12.5,112,89.29,0,0,0,9,0,-,-,-,-,-,-,-,-,-,-,-,-,-
12,22,1,709,137,33.76,1069,66.32,2,0,4,88,11,71,61,11,1409,97,28.18,1424,98.95,0,0,6,123,35,60,48,17,688,48,22.19,431,159.63,0,0,0,49,41,14,10,1,92,22,10.22,93,98.92,0,0,0,6,2
29,44,7,1432,120,38.7,1780,80.45,2,0,8,141,41,45,35,7,742,74,26.5,699,106.15,0,0,4,58,29,41,39,7,503,59,15.72,365,137.81,0,0,3,27,30,25,21,5,303,40,18.94,225,134.67,0,0,0,18,18
1,2,0,15,15,7.5,26,57.69,0,0,0,3,0,57,53,2,1271,87,24.92,1214,104.7,0,0,8,137,36,65,62,7,1724,109,31.35,1102,156.44,3,0,11,132,107,13,12,0,177,40,14.75,141,125.53,0,0,0,19,8
24,32,1,766,126,24.71,1803,42.48,1,0,2,90,18,87,64,26,1057,67,27.82,1208,87.5,0,0,2,76,29,80,53,24,491,77,16.93,383,128.2,0,0,1,36,17,12,6,3,54,22,18.0,50,108.0,0,0,0,3,3
68,119,5,4623,264,40.55,9918,46.61,12,2,23,526,16,117,107,14,3382,145,36.37,3924,86.19,7,0,18,291,49,18,15,2,322,65,24.77,303,106.27,0,0,2,22,5,-,-,-,-,-,-,-,-,-,-,-,-,-
20,33,4,1192,121,41.1,2483,48.01,3,0,7,158,2,2,2,0,31,22,15.5,35,88.57,0,0,0,4,0,7,6,2,59,30,14.75,75,78.67,0,0,0,4,0,-,-,-,-,-,-,-,-,-,-,-,-,-
78,94,46,759,52,15.81,1264,60.05,0,0,1,82,30,99,45,24,191,21,9.1,245,77.96,0,0,0,19,6,55,12,7,32,8,6.4,42,76.19,0,0,0,2,0,78,18,13,53,17,10.6,48,110.42,0,0,0,2,2
17,22,5,312,66,18.35,446,69.96,0,0,2,47,5,65,25,8,223,48,13.12,240,92.92,0,0,0,19,9,6,2,1,10,10,10.0,5,200.0,0,0,0,2,0,2,-,-,-,-,-,-,-,-,-,-,-,-
88,125,10,1855,77,16.13,2240,82.81,0,0,5,187,76,151,90,33,707,55,12.4,731,96.72,0,0,1,55,26,106,42,18,261,39,10.88,187,139.57,0,0,0,18,16,52,20,7,120,36,9.23,107,112.15,0,0,0,8,4
17,25,4,448,63,21.33,851,52.64,0,0,3,51,7,37,17,4,137,25,10.54,169,81.07,0,0,0,6,7,88,21,7,125,19,8.93,114,109.65,0,0,0,8,7,8,2,0,7,6,3.5,17,41.18,0,0,0,0,0
1,2,2,1,1,0.0,9,11.11,0,0,0,0,0,47,20,9,80,19,7.27,163,49.08,0,0,0,4,1,28,6,4,21,14,10.5,15,140.0,0,0,0,0,2,35,9,7,67,24,33.5,45,148.89,0,0,0,6,2
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,3,1,7,5,3.5,19,36.84,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,0,52,25,8.67,89,58.43,0,0,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,1,709,75,28.36,1065,66.57,0,0,6,70,12,37,32,1,603,59,19.45,560,107.68,0,0,1,54,18,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,0,11,9,5.5,25,44.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,1,66,55,22.0,151,43.71,0,0,1,5,0,17,15,3,270,40,22.5,272,99.26,0,0,0,21,6,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,1,315,115,35.0,398,79.15,1,0,1,40,5,27,26,3,620,106,26.96,510,121.57,1,0,2,56,21,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,2,2,2.0,3,66.67,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,9,9,0.0,44,20.45,0,0,0,0,0,9,5,2,13,6,4.33,43,30.23,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,0,4,4,4.0,7,57.14,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,0,13,12,3.25,47,27.66,0,0,0,2,0,14,9,3,22,11,3.67,52,42.31,0,0,0,2,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,3,3,3.0,20,15.0,0,0,0,0,0,9,9,0,90,20,10.0,100,90.0,0,0,0,13,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,0,79,29,7.18,93,84.95,0,0,0,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,17,14,0,275,59,19.64,461,59.65,0,0,1,24,3,28,22,6,263,58,16.44,242,108.68,0,0,2,19,10,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,0,97,50,16.17,193,50.26,0,0,1,6,1,8,8,0,112,56,14.0,139,80.58,0,0,1,10,1,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,28,21,2,204,42,10.74,268,76.12,0,0,0,16,10,36,24,7,245,45,14.41,163,150.31,0,0,0,13,19,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,3,2,6,5,6.0,12,50.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,32,26,6,362,61,18.1,538,67.29,0,0,1,24,7,38,23,8,202,40,13.47,184,109.78,0,0,0,15,8,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,0,0,0,0.0,5,0.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,0,11,6,5.5,20,55.0,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,0,5,5,1.25,9,55.56,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,0,43,23,8.6,94,45.74,0,0,0,4,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,0,199,85,33.17,198,100.51,0,0,1,25,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,2,26,17,26.0,38,68.42,0,0,0,3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,1,11,5,2.2,62,17.74,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,0,45,41,22.5,65,69.23,0,0,0,4,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,0,132,52,22.0,220,60.0,0,0,1,11,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,5,4,1,27,24,9.0,51,52.94,0,0,0,3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,1,82,27,16.4,135,60.74,0,0,0,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,1,58,24,14.5,111,52.25,0,0,0,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
