Bat_Test_M,Bat_Test_Inn,Bat_Test_NO,Bat_Test_Runs,Bat_Test_HS,Bat_Test_Avg,Bat_Test_BF,Bat_Test_SR,Bat_Test_100,Bat_Test_200,Bat_Test_50,Bat_Test_4s,Bat_Test_6s,Bat_ODI_M,Bat_ODI_Inn,Bat_ODI_NO,Bat_ODI_Runs,Bat_ODI_HS,Bat_ODI_Avg,Bat_ODI_BF,Bat_ODI_SR,Bat_ODI_100,Bat_ODI_200,Bat_ODI_50,Bat_ODI_4s,Bat_ODI_6s,Bat_T20I_M,Bat_T20I_Inn,Bat_T20I_NO,Bat_T20I_Runs,Bat_T20I_HS,Bat_T20I_Avg,Bat_T20I_BF,Bat_T20I_SR,Bat_T20I_100,Bat_T20I_200,Bat_T20I_50,Bat_T20I_4s,Bat_T20I_6s,Bat_IPL_M,Bat_IPL_Inn,Bat_IPL_NO,Bat_IPL_Runs,Bat_IPL_HS,Bat_IPL_Avg,Bat_IPL_BF,Bat_IPL_SR,Bat_IPL_100,Bat_IPL_200,Bat_IPL_50,Bat_IPL_4s,Bat_IPL_6s
-,-,-,-,-,-,-,-,-,-,-,-,-,37,24,10,89,16,6.36,158,56.33,0,0,0,7,3,37,8,4,11,6,2.75,21,52.38,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,49,45,2,1306,96,30.37,1764,74.04,0,0,9,127,39,36,34,3,587,103,18.94,512,114.65,1,0,1,69,20,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,0,71,27,14.2,153,46.41,0,0,0,7,0,10,10,0,84,18,8.4,134,62.69,0,0,0,7,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,104,89,9,2044,98,25.55,2981,68.57,0,0,11,160,30,49,45,10,1042,75,29.77,898,116.04,0,0,5,75,42,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,20,20,0,419,74,20.95,751,55.79,0,0,2,48,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,12,9,0,150,86,16.67,210,71.43,0,0,1,16,0,20,18,2,213,52,13.31,196,108.67,0,0,1,15,5,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,10,6,0,56,29,9.33,121,46.28,0,0,0,3,0,26,14,3,192,67,17.45,179,107.26,0,0,1,15,5,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,67,53,9,528,66,12.0,736,71.74,0,0,1,47,12,37,27,3,275,41,11.46,257,107.0,0,0,0,30,6,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,4,0,8,5,2.0,16,50.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,9,9,0,396,112,44.0,522,75.86,2,0,1,40,0,34,31,9,662,71,30.09,650,101.85,0,0,4,64,10,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,81,78,5,1517,61,20.78,2559,59.28,0,0,7,140,5,22,19,1,127,19,7.06,160,79.38,0,0,0,15,1,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,39,35,4,621,92,20.03,977,63.56,0,0,2,56,7,49,40,9,830,73,26.77,633,131.12,0,0,3,61,45,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,10,9,7,34,16,17.0,50,68.0,0,0,0,3,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,18,12,4,35,21,4.38,86,40.7,0,0,0,1,1,7,3,1,4,2,2.0,17,23.53,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,11,10,3,68,28,9.71,117,58.12,0,0,0,3,2,45,26,9,192,38,11.29,157,122.29,0,0,0,15,8,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,1,6,5,6.0,6,100.0,0,0,0,1,0,22,11,4,134,33,19.14,89,150.56,0,0,0,14,7,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,26,17,7,49,11,4.9,136,36.03,0,0,0,4,0,26,12,6,26,8,4.33,54,48.15,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,63,38,17,252,34,12.0,489,51.53,0,0,0,11,1,25,12,11,55,18,55.0,85,64.71,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,1,61,33,20.33,108,56.48,0,0,0,5,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,85,84,4,3124,156,39.05,3776,82.73,5,0,21,401,40,69,68,2,1495,89,22.65,1254,119.22,0,0,6,158,48,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,17,15,4,248,46,22.55,312,79.49,0,0,0,18,1,8,6,2,60,24,15.0,62,96.77,0,0,0,2,3,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,0,354,87,29.5,530,66.79,0,0,3,33,3,4,4,0,110,86,27.5,79,139.24,0,0,1,10,4,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,47,46,8,1357,79,35.71,1709,79.4,0,0,10,135,32,55,54,4,1438,127,28.76,1016,141.54,1,0,9,172,58,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,100,95,11,2502,114,29.79,3401,73.57,3,0,16,168,57,78,72,14,1783,100,30.74,1392,128.09,1,0,7,154,57,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,87,86,7,3024,175,38.28,3749,80.66,10,0,13,313,35,64,61,9,1239,74,23.83,1115,111.12,0,0,7,107,23,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,58,48,9,935,85,23.97,838,111.58,0,0,6,80,37,47,38,5,487,58,14.76,386,126.17,0,0,1,36,22,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,40,18,8,100,28,10.0,157,63.69,0,0,0,9,1,35,10,2,10,8,1.25,17,58.82,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,10,7,1,46,20,7.67,43,106.98,0,0,0,7,0,9,6,2,69,33,17.25,43,160.47,0,0,0,9,1,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,78,73,1,1718,114,23.86,2366,72.61,2,0,9,158,21,60,51,7,994,66,22.59,859,115.72,0,0,5,98,25,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,32,28,1,574,58,21.26,630,91.11,0,0,4,47,12,20,16,6,173,27,17.3,161,107.45,0,0,0,15,3,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,50,31,11,333,37,16.65,444,75.0,0,0,0,27,4,51,21,8,134,22,10.31,112,119.64,0,0,0,15,1,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,68,47,21,514,40,19.77,694,74.06,0,0,0,35,5,57,25,13,165,26,13.75,136,121.32,0,0,0,10,5,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,22,10,1,42,15,4.67,59,71.19,0,0,0,4,0,8,2,2,6,4,0.0,3,200.0,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,14,4,3,82,64,82.0,87,94.25,0,0,1,7,1,5,2,2,12,12,0.0,14,85.71,0,0,0,2,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,13,7,3,16,14,4.0,31,51.61,0,0,0,3,0,17,5,4,5,2,5.0,8,62.5,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,12,11,4,98,24,14.0,195,50.26,0,0,0,9,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,8,8,0,60,20,7.5,135,44.44,0,0,0,7,2,3,3,0,9,7,3.0,17,52.94,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,0,68,45,34.0,104,65.38,0,0,0,8,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,0,106,60,26.5,174,60.92,0,0,1,5,1,3,3,0,13,7,4.33,17,76.47,0,0,0,2,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,22,22,3,641,102,33.74,912,70.29,1,0,4,68,7,2,2,0,20,20,10.0,32,62.5,0,0,0,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,1,2,2,2.0,7,28.57,0,0,0,0,0,1,1,0,0,0,0.0,1,0.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,23,23,0,336,56,14.61,612,54.9,0,0,1,30,2,3,3,1,49,37,24.5,51,96.08,0,0,0,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,4,4,0,36,30,9.0,89,40.45,0,0,0,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,1,1,1.0,5,20.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,12,12,2,113,27,11.3,149,75.84,0,0,0,8,5,3,3,1,25,11,12.5,32,78.12,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,0,72,30,14.4,217,33.18,0,0,0,4,0,3,3,0,34,15,11.33,53,64.15,0,0,0,1,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,11,10,4,130,48,21.67,249,52.21,0,0,0,9,0,9,8,3,35,19,7.0,69,50.72,0,0,0,3,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,26,26,1,496,52,19.84,726,68.32,0,0,1,57,7,5,5,1,94,50,23.5,97,96.91,0,0,1,11,1,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,11,11,2,252,72,28.0,403,62.53,0,0,1,22,3,3,3,0,13,9,4.33,28,46.43,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,6,6,0,65,20,10.83,145,44.83,0,0,0,5,1,3,3,0,24,16,8.0,29,82.76,0,0,0,3,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,0,122,69,61.0,218,55.96,0,0,2,14,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,15,15,0.0,26,57.69,0,0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,19,13,5,85,22,10.62,101,84.16,0,0,0,3,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,10,6,6,14,7,0.0,31,45.16,0,0,0,1,0,3,2,2,13,11,0.0,24,54.17,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,0,4,4,4.0,28,14.29,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,9,7,0,38,16,5.43,54,70.37,0,0,0,4,1,7,5,2,25,7,8.33,34,73.53,0,0,0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,3,2,0,27,17,13.5,40,67.5,0,0,0,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,8,7,1,70,20,11.67,142,49.3,0,0,0,7,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,0,72,42,36.0,69,104.35,0,0,0,8,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,35,34,3,783,101,25.26,1222,64.08,1,0,4,86,16,2,2,0,9,8,4.5,20,45.0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-
