Bal_Test_M,Bal_Test_Inn,Bal_Test_B,Bal_Test_Runs,Bal_Test_Wkts,Bal_Test_BBI,Bal_Test_BBM,Bal_Test_Econ,Bal_Test_Avg,Bal_Test_SR,Bal_Test_5W,Bal_Test_10W,Bal_ODI_M,Bal_ODI_Inn,Bal_ODI_B,Bal_ODI_Runs,Bal_ODI_Wkts,Bal_ODI_BBI,Bal_ODI_BBM,Bal_ODI_Econ,Bal_ODI_Avg,Bal_ODI_SR,Bal_ODI_5W,Bal_ODI_10W,Bal_T20I_M,Bal_T20I_Inn,Bal_T20I_B,Bal_T20I_Runs,Bal_T20I_Wkts,Bal_T20I_BBI,Bal_T20I_BBM,Bal_T20I_Econ,Bal_T20I_Avg,Bal_T20I_SR,Bal_T20I_5W,Bal_T20I_10W,Bal_IPL_M,Bal_IPL_Inn,Bal_IPL_B,Bal_IPL_Runs,Bal_IPL_Wkts,Bal_IPL_BBI,Bal_IPL_BBM,Bal_IPL_Econ,Bal_IPL_Avg,Bal_IPL_SR,Bal_IPL_5W,Bal_IPL_10W
56,1,6,2,0,0/2,0/2,2.0,0.0,0.0,0,0,122,-,-,-,-,-,-,-,-,-,-,-,26,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
103,104,7109,3120,73,5/34,6/81,2.63,42.74,97.38,2,0,301,199,7424,5926,167,5/46,5/46,4.79,35.49,44.46,1,0,79,30,381,440,20,2/15,2/15,6.93,22.0,19.05,0,0,142,38,554,729,18,3/21,3/21,7.9,40.5,30.78,0,0
-,-,-,-,-,-,-,-,-,-,-,-,57,-,-,-,-,-,-,-,-,-,-,-,53,-,-,-,-,-,-,-,-,-,-,-,27,-,-,-,-,-,-,-,-,-,-,-
16,-,-,-,-,-,-,-,-,-,-,-,47,-,-,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-,-,-,-,-,-,46,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,20,18,666,627,7,2/40,2/40,5.65,89.57,95.14,0,0,34,29,521,646,24,2/18,2/18,7.44,26.92,21.71,0,0,5,4,90,136,2,1/22,1/22,9.07,68.0,45.0,0,0
58,101,9849,4158,143,6/42,11/103,2.53,29.08,68.87,8,1,131,127,6043,5555,153,5/27,5/27,5.52,36.31,39.5,2,0,49,46,1006,1370,51,5/27,5/27,8.17,26.86,19.73,1,0,38,38,824,1177,49,4/52,4/52,8.57,24.02,16.82,0,0
1,2,138,104,1,1/73,1/104,4.52,104.0,138.0,0,0,56,55,2290,2229,70,4/35,4/35,5.84,31.84,32.71,0,0,67,56,891,1364,39,3/43,3/43,9.19,34.97,22.85,0,0,98,89,1430,2179,89,5/15,5/15,9.14,24.48,16.07,1,0
3,4,408,242,1,1/30,1/139,3.56,242.0,408.0,0,0,44,40,1825,1766,43,5/27,5/27,5.81,41.07,42.44,1,0,41,39,709,1013,31,3/20,3/20,8.57,32.68,22.87,0,0,16,16,254,379,13,3/47,3/47,8.95,29.15,19.54,0,0
38,-,-,-,-,-,-,-,-,-,-,-,104,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,52,7,169,174,6,4/48,4/48,6.18,29.0,28.17,0,0,72,-,-,-,-,-,-,-,-,-,-,-,47,-,-,-,-,-,-,-,-,-,-,-
2,2,276,196,2,1/72,1/72,4.26,98.0,138.0,0,0,38,36,1722,1685,52,5/46,5/46,5.87,32.4,33.12,1,0,42,41,876,1160,50,4/28,4/28,7.95,23.2,17.52,0,0,6,6,120,176,6,2/17,2/17,8.8,29.33,20.0,0,0
56,98,9055,5127,161,8/62,13/121,3.4,31.84,56.24,6,1,25,25,1148,1134,33,3/17,3/17,5.93,34.36,34.79,0,0,2,2,42,56,3,3/44,3/44,8.0,18.67,14.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
74,134,13479,6884,253,6/48,10/146,3.06,27.21,53.28,10,1,95,93,4579,3887,125,6/27,6/27,5.09,31.1,36.63,3,0,11,11,234,284,10,2/25,2/25,7.28,28.4,23.4,0,0,2,2,48,80,0,0/32,0/32,10.0,0.0,0.0,0,0
-,-,-,-,-,-,-,-,-,-,-,-,54,49,2384,2125,49,4/51,4/51,5.35,43.37,48.65,0,0,13,13,240,317,8,2/6,2/6,7.92,39.62,30.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,20,19,771,866,27,5/21,5/21,6.74,32.07,28.56,1,0,20,19,384,602,21,5/28,5/28,9.41,28.67,18.29,1,0,4,4,60,79,5,2/6,2/6,7.9,15.8,12.0,0,0
18,-,-,-,-,-,-,-,-,-,-,-,105,-,-,-,-,-,-,-,-,-,-,-,56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,25,1164,489,16,3/24,3/24,2.52,30.56,72.75,0,0,209,85,1844,1636,39,3/39,3/39,5.32,41.95,47.28,0,0,65,9,72,113,2,1/4,1/4,9.42,56.5,36.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
17,25,2657,1441,34,7/113,8/176,3.25,42.38,78.15,2,0,123,95,3830,3124,70,3/21,3/21,4.89,44.63,54.71,0,0,66,55,846,1013,38,4/8,4/8,7.18,26.66,22.26,0,0,-,-,-,-,-,-,-,-,-,-,-,-
14,22,2025,1072,21,3/20,6/111,3.18,51.05,96.43,0,0,147,121,4540,3738,77,4/43,4/43,4.94,48.55,58.96,0,0,66,62,1074,1238,43,3/15,3/15,6.92,28.79,24.98,0,0,-,-,-,-,-,-,-,-,-,-,-,-
2,3,84,32,1,1/22,1/27,2.29,32.0,84.0,0,0,47,19,507,515,12,4/43,4/43,6.09,42.92,42.25,0,0,9,5,72,115,1,1/15,1/15,9.58,115.0,72.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
7,2,18,12,0,0/3,0/3,4.0,0.0,0.0,0,0,14,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
4,-,-,-,-,-,-,-,-,-,-,-,22,9,225,230,4,2/50,2/50,6.13,57.5,56.25,0,0,13,2,18,20,1,1/8,1/8,6.67,20.0,18.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
14,22,1806,966,21,5/54,6/133,3.21,46.0,86.0,1,0,213,132,4339,4274,101,4/28,4/28,5.91,42.32,42.96,0,0,56,20,258,404,14,4/31,4/31,9.4,28.86,18.43,0,0,-,-,-,-,-,-,-,-,-,-,-,-
22,-,-,-,-,-,-,-,-,-,-,-,61,-,-,-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,4,42,38,0,0/6,0/6,5.43,0.0,0.0,0,0,205,21,396,406,9,3/54,3/54,6.15,45.11,44.0,0,0,44,2,30,17,1,1/16,1/16,3.4,17.0,30.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
8,-,-,-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,14,1569,596,21,5/61,6/106,2.28,28.38,74.71,1,0,79,79,3896,3333,102,4/33,4/33,5.13,32.68,38.2,0,0,47,47,1020,1235,51,3/14,3/14,7.26,24.22,20.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
15,24,2615,1247,26,3/23,4/47,2.86,47.96,100.58,0,0,38,36,1508,1456,36,5/63,5/63,5.79,40.44,41.89,1,0,23,23,417,617,16,3/20,3/20,8.88,38.56,26.06,0,0,-,-,-,-,-,-,-,-,-,-,-,-
15,23,2489,1392,29,4/92,5/123,3.36,48.0,85.83,0,0,84,83,3960,3581,93,6/52,6/52,5.43,38.51,42.58,1,0,32,32,694,1036,33,4/30,4/30,8.96,31.39,21.03,0,0,-,-,-,-,-,-,-,-,-,-,-,-
13,22,2511,1354,46,5/54,7/98,3.24,29.43,54.59,3,0,49,49,2362,2087,58,4/16,4/16,5.3,35.98,40.72,0,0,21,21,424,630,26,3/15,3/15,8.92,24.23,16.31,0,0,-,-,-,-,-,-,-,-,-,-,-,-
2,4,336,237,4,4/21,4/48,4.23,59.25,84.0,0,0,7,7,276,266,7,2/30,2/30,5.78,38.0,39.43,0,0,9,9,150,201,3,1/19,1/19,8.04,67.0,50.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,36,34,1490,1151,30,4/27,4/27,4.63,38.37,49.67,0,0,31,28,466,562,22,2/13,2/13,7.24,25.55,21.18,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,19,19,978,690,18,3/58,3/58,4.23,38.33,54.33,0,0,8,8,126,140,4,2/13,2/13,6.67,35.0,31.5,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,13,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,48,14,240,181,3,2/33,2/33,4.53,60.33,80.0,0,0,31,4,30,51,0,0/8,0/8,10.2,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,54,50,1908,1264,43,3/17,3/17,3.97,29.4,44.37,0,0,33,22,330,350,24,3/7,3/7,6.36,14.58,13.75,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,54,50,1908,1264,43,3/17,3/17,3.97,29.4,44.37,0,0,33,22,330,350,24,3/7,3/7,6.36,14.58,13.75,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,2,2,108,76,3,2/29,2/29,4.22,25.33,36.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,45,18,504,377,7,2/35,2/35,4.49,53.86,72.0,0,0,30,15,162,183,5,2/32,2/32,6.78,36.6,32.4,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,5,5,207,192,6,3/49,3/49,5.57,32.0,34.5,0,0,5,5,84,82,5,3/17,3/17,5.86,16.4,16.8,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,1,1,48,38,1,1/38,1/38,4.75,38.0,48.0,0,0,2,2,18,20,3,3/11,3/11,6.67,6.67,6.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,10,10,423,387,14,3/40,3/40,5.49,27.64,30.21,0,0,5,5,85,91,5,2/11,2/11,6.42,18.2,17.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,47,46,2060,1814,59,4/24,4/24,5.28,30.75,34.92,0,0,33,28,580,734,34,3/14,3/14,7.59,21.59,17.06,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,-,-,-,-,-,-,-,-,-,-,-,51,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,52,1,6,12,0,0/12,0/12,12.0,0.0,0.0,0,0,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,24,7,102,113,3,1/6,1/6,6.65,37.67,34.0,0,0,3,1,6,5,0,0/5,0/5,5.0,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,60,65,1,1/24,1/24,6.5,65.0,60.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,21,21,989,762,26,3/25,3/25,4.62,29.31,38.04,0,0,17,17,334,438,16,3/21,3/21,7.87,27.38,20.88,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,44,44,2052,1535,55,6/41,6/41,4.49,27.91,37.31,1,0,14,14,278,351,16,3/11,3/11,7.58,21.94,17.38,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,37,1,12,11,0,0/11,0/11,5.5,0.0,0.0,0,0,46,1,12,17,0,0/17,0/17,8.5,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,35,35,1673,1139,48,4/15,4/15,4.08,23.73,34.85,0,0,47,37,684,740,31,4/7,4/7,6.49,23.87,22.06,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,5,54,67,1,1/6,1/6,7.44,67.0,54.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,34,34,1591,1265,42,5/15,5/15,4.77,30.12,37.88,1,0,40,39,722,795,46,4/11,4/11,6.61,17.28,15.7,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18,11,186,222,9,3/18,3/18,7.16,24.67,20.67,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,2,2,84,62,2,2/35,2/35,4.43,31.0,42.0,0,0,16,15,309,374,8,1/13,1/13,7.26,46.75,38.62,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,1,1,8,8,0,0/8,0/8,6.0,0.0,0.0,0,0,5,5,63,71,2,1/20,1/20,6.76,35.5,31.5,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,36,32,3,2/17,2/17,5.33,10.67,12.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,10,227,334,8,3/37,3/37,8.83,41.75,28.38,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,25,20,634,579,17,3/43,3/43,5.48,34.06,37.29,0,0,37,37,624,757,25,4/23,4/23,7.28,30.28,24.96,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,13,3,24,31,0,0/8,0/8,7.75,0.0,0.0,0,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,5,2,15,25,0,0/1,0/1,10.0,0.0,0.0,0,0,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,24,18,445,413,7,3/27,3/27,5.57,59.0,63.57,0,0,8,6,90,94,7,2/13,2/13,6.27,13.43,12.86,0,0,-,-,-,-,-,-,-,-,-,-,-,-
19,2,18,11,0,0/2,0/2,3.67,0.0,0.0,0,0,55,3,66,63,0,0/4,0/4,5.73,0.0,0.0,0,0,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,16,3,66,63,2,2/40,2/40,5.73,31.5,33.0,0,0,12,5,66,71,1,1/18,1/18,6.45,71.0,66.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,23,16,409,351,10,4/28,4/28,5.15,35.1,40.9,0,0,11,5,59,83,2,2/23,2/23,8.44,41.5,29.5,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,33,32,1330,1095,32,3/25,3/25,4.94,34.22,41.56,0,0,18,15,300,382,9,2/19,2/19,7.64,42.44,33.33,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,4,3,113,95,3,2/58,2/58,5.04,31.67,37.67,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,23,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,32,32,1551,1348,44,3/19,3/19,5.21,30.64,35.25,0,0,17,17,323,411,27,4/19,4/19,7.63,15.22,11.96,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,4,2,72,48,2,1/13,1/13,4.0,24.0,36.0,0,0,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,6,5,121,128,1,1/59,1/59,6.35,128.0,121.0,0,0,5,3,54,58,2,2/16,2/16,6.44,29.0,27.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,62,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,14,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,3,54,82,3,2/40,2/40,9.11,27.33,18.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,24,32,2,2/18,2/18,8.0,16.0,12.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,6,6,252,223,5,2/26,2/26,5.31,44.6,50.4,0,0,1,1,18,30,0,0/30,0/30,10.0,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,1,1,36,31,0,0/31,0/31,5.17,0.0,0.0,0,0,12,12,234,274,7,1/12,1/12,7.03,39.14,33.43,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,5,5,204,190,6,3/26,3/26,5.59,31.67,34.0,0,0,8,8,179,220,11,3/14,3/14,7.37,20.0,16.27,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,2,2,47,47,4,4/38,4/38,6.0,11.75,11.75,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,25,24,1186,1029,36,5/68,5/68,5.21,28.58,32.94,1,0,4,4,73,106,1,1/24,1/24,8.71,106.0,73.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,42,41,1692,1389,45,4/26,4/26,4.93,30.87,37.6,0,0,11,11,210,250,10,3/36,3/36,7.14,25.0,21.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,1,1,36,50,2,2/50,2/50,8.33,25.0,18.0,0,0,5,1,12,24,0,0/24,0/24,12.0,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,32,31,1435,1067,36,3/15,3/15,4.46,29.64,39.86,0,0,5,5,108,91,4,2/19,2/19,5.06,22.75,27.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,2,2,120,94,2,1/37,1/37,4.7,47.0,60.0,0,0,3,3,57,47,3,3/16,3/16,4.95,15.67,19.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,22,1,6,9,0,0/9,0/9,9.0,0.0,0.0,0,0,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,8,-,-,-,-,-,-,-,-,-,-,-,16,2,18,31,0,0/12,0/12,10.33,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,10,3,110,79,7,4/10,4/10,4.31,11.29,15.71,0,0,45,24,378,482,11,2/9,2/9,7.65,43.82,34.36,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,19,19,734,681,16,2/26,2/26,5.57,42.56,45.88,0,0,49,49,983,1179,58,3/10,3/10,7.2,20.33,16.95,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,20,6,145,119,4,1/11,1/11,4.92,29.75,36.25,0,0,53,5,84,83,4,3/19,3/19,5.93,20.75,21.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,20,19,852,600,19,3/20,3/20,4.23,31.58,44.84,0,0,21,21,426,509,19,2/8,2/8,7.17,26.79,22.42,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,18,7,337,167,14,3/22,3/22,2.97,11.93,24.07,0,0,20,13,198,264,5,3/6,3/6,8.0,52.8,39.6,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,11,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,22,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,15,15,807,594,29,4/33,4/33,4.42,20.48,27.83,0,0,33,33,726,740,41,4/24,4/24,6.12,18.05,17.71,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,25,25,1327,931,38,4/26,4/26,4.21,24.5,34.92,0,0,24,24,495,546,25,4/21,4/21,6.62,21.84,19.8,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,6,6,229,208,5,2/49,2/49,5.45,41.6,45.8,0,0,5,5,81,116,3,2/29,2/29,8.59,38.67,27.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,1,1,6,7,0,0/7,0/7,7.0,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,2,2,60,69,1,1/26,1/26,6.9,69.0,60.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2,10,5,1,1/4,1/4,3.0,5.0,10.0,0,0,12,2,72,74,0,0/8,0/8,6.17,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,2,2,59,69,0,0/6,0/6,7.02,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,2,2,78,63,1,1/37,1/37,4.85,63.0,78.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,2,1,24,52,1,1/52,1/52,13.0,52.0,24.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
