Bal_Test_M,Bal_Test_Inn,Bal_Test_B,Bal_Test_Runs,Bal_Test_Wkts,Bal_Test_BBI,Bal_Test_BBM,Bal_Test_Econ,Bal_Test_Avg,Bal_Test_SR,Bal_Test_5W,Bal_Test_10W,Bal_ODI_M,Bal_ODI_Inn,Bal_ODI_B,Bal_ODI_Runs,Bal_ODI_Wkts,Bal_ODI_BBI,Bal_ODI_BBM,Bal_ODI_Econ,Bal_ODI_Avg,Bal_ODI_SR,Bal_ODI_5W,Bal_ODI_10W,Bal_T20I_M,Bal_T20I_Inn,Bal_T20I_B,Bal_T20I_Runs,Bal_T20I_Wkts,Bal_T20I_BBI,Bal_T20I_BBM,Bal_T20I_Econ,Bal_T20I_Avg,Bal_T20I_SR,Bal_T20I_5W,Bal_T20I_10W,Bal_IPL_M,Bal_IPL_Inn,Bal_IPL_B,Bal_IPL_Runs,Bal_IPL_Wkts,Bal_IPL_BBI,Bal_IPL_BBM,Bal_IPL_Econ,Bal_IPL_Avg,Bal_IPL_SR,Bal_IPL_5W,Bal_IPL_10W
2,4,251,172,4,2/54,4/119,4.11,43.0,62.75,0,0,8,8,420,481,6,2/58,2/58,6.87,80.17,70.0,0,0,11,9,197,235,13,3/17,3/17,7.16,18.08,15.15,0,0,30,30,622,900,20,2/24,2/24,8.68,45.0,31.1,0,0
8,15,1107,660,27,7/61,8/108,3.58,24.44,41.0,1,0,30,30,1383,1432,41,4/52,4/52,6.21,34.93,33.73,0,0,25,24,506,772,33,4/27,4/27,9.15,23.39,15.33,0,0,75,74,1550,2340,82,4/36,4/36,9.06,28.54,18.9,0,0
52,102,8235,4867,158,6/88,10/133,3.55,30.8,52.12,3,1,75,73,3558,3565,106,4/31,4/31,6.01,33.63,33.57,0,0,9,9,180,280,12,2/19,2/19,9.33,23.33,15.0,0,0,133,132,2810,3918,135,4/23,4/23,8.37,29.02,20.81,0,0
13,25,2230,1231,40,5/73,8/126,3.31,30.77,55.75,1,0,15,15,762,614,23,3/29,3/29,4.83,26.7,33.13,0,0,8,8,192,294,11,4/17,4/17,9.19,26.73,17.45,0,0,65,65,1334,1951,59,4/32,4/32,8.78,33.07,22.61,0,0
3,-,-,-,-,-,-,-,-,-,-,-,147,-,-,-,-,-,-,-,-,-,-,-,61,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,1,6,8,0,0/8,0/8,8.0,0.0,0.0,0,0,87,4,60,68,2,1/26,1/26,6.8,34.0,30.0,0,0,85,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,156,103,0,0/17,0/103,3.96,0.0,0.0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,6,5,92,143,9,3/19,3/19,9.33,15.89,10.22,0,0,-,-,-,-,-,-,-,-,-,-,-,-
3,2,60,31,0,0/11,0/11,3.1,0.0,0.0,0,0,152,116,4296,3726,114,4/13,4/13,5.2,32.68,37.68,0,0,109,52,917,1148,58,4/45,4/45,7.51,19.79,15.81,0,0,-,-,-,-,-,-,-,-,-,-,-,-
3,1,12,11,0,0/11,0/11,5.5,0.0,0.0,0,0,138,76,2441,1942,43,6/55,6/55,4.77,45.16,56.77,1,0,121,41,522,647,20,3/21,3/21,7.44,32.35,26.1,0,0,-,-,-,-,-,-,-,-,-,-,-,-
3,6,410,204,10,3/28,4/93,2.99,20.4,41.0,0,0,19,16,559,490,12,2/17,2/17,5.26,40.83,46.58,0,0,40,30,474,670,18,4/18,4/18,8.48,37.22,26.33,0,0,-,-,-,-,-,-,-,-,-,-,-,-
2,-,-,-,-,-,-,-,-,-,-,-,104,-,-,-,-,-,-,-,-,-,-,-,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,29,-,-,-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,24,24,1238,1356,34,3/33,3/33,6.57,39.88,36.41,0,0,12,12,251,416,15,4/35,4/35,9.94,27.73,16.73,0,0,-,-,-,-,-,-,-,-,-,-,-,-
1,2,240,121,2,2/63,2/121,3.02,60.5,120.0,0,0,102,92,4382,3488,93,4/24,4/24,4.78,37.51,47.12,0,0,111,82,1502,1780,81,4/20,4/20,7.11,21.98,18.54,0,0,-,-,-,-,-,-,-,-,-,-,-,-
3,6,570,213,13,5/13,6/65,2.24,16.38,43.85,1,0,58,57,3020,2290,74,5/21,5/21,4.55,30.95,40.81,1,0,14,14,268,324,13,3/23,3/23,7.25,24.92,20.62,0,0,-,-,-,-,-,-,-,-,-,-,-,-
1,2,166,98,6,3/32,6/98,3.54,16.33,27.67,0,0,26,24,1103,1123,27,4/19,4/19,6.11,41.59,40.85,0,0,58,58,1229,1590,76,4/23,4/23,7.76,20.92,16.17,0,0,-,-,-,-,-,-,-,-,-,-,-,-
2,3,300,159,3,2/77,3/112,3.18,53.0,100.0,0,0,67,64,3281,2408,75,5/29,5/29,4.4,32.11,43.75,1,0,32,26,408,487,23,2/7,2/7,7.16,21.17,17.74,0,0,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,38,38,1890,1819,61,5/46,5/46,5.77,29.82,30.98,1,0,35,35,737,1126,30,4/30,4/30,9.17,37.53,24.57,0,0,-,-,-,-,-,-,-,-,-,-,-,-
3,6,443,304,8,2/5,4/91,4.12,38.0,55.38,0,0,75,73,3708,2958,107,4/15,4/15,4.79,27.64,34.65,0,0,50,49,1068,1219,55,3/16,3/16,6.85,22.16,19.42,0,0,-,-,-,-,-,-,-,-,-,-,-,-
5,1,12,8,0,0/8,0/8,4.0,0.0,0.0,0,0,146,21,284,259,4,1/2,1/2,5.47,64.75,71.0,0,0,103,2,12,27,0,0/9,0/9,13.5,0.0,0.0,0,0,92,5,43,67,1,1/11,1/11,9.35,67.0,43.0,0,0
89,58,1435,990,18,3/18,4/83,4.14,55.0,79.72,0,0,139,40,1076,971,28,3/16,3/16,5.41,34.68,38.43,0,0,63,17,291,378,17,3/20,3/20,7.79,22.24,17.12,0,0,103,1,2,5,0,0/5,0/5,0.0,0.0,0.0,0,0
98,19,342,269,4,2/45,2/45,4.72,67.25,85.50,0,0,141,1,6,8,0,0/8,0/8,8.0,0.0,0.0,0,0,99,-,-,-,-,-,-,-,-,-,-,-,162,1,1,2,0,0/2,0/2,0.0,0.0,0.0,0,0
23,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
