name,team,date_of_birth,palce_of_birth,role,height,test_bat_rank,odi_bat_rank,t20_bat_rank,test_bow_rank,odi_bow_rank,t20_bow_rank,link,bat_path,bow_path
Qadeer Ahmed,United Arab Emirates,"Nov 15, 1985 (37 years)","Attock, Pakistan",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10814/qadeer-ahmed,Scores/bat_10814.csv,Scores/bow_10814.csv
Sultan Ahmed,United Arab Emirates,"Oct 11, 1989 (33 years)","Gujranwala, Punjab",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/12746/sultan-ahmed,Scores/bat_12746.csv,Scores/bow_12746.csv
Amir Hayat,United Arab Emirates,"Aug 28, 1982 (40 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/13269/amir-hayat,Scores/bat_13269.csv,Scores/bow_13269.csv
Zahoor Khan,United Arab Emirates,"May 25, 1989 (33 years)","Faisalabad, Punjab",Bowler,--,--,--,--,--,75,60,https://www.cricbuzz.com/profiles/12247/zahoor-khan,Scores/bat_12247.csv,Scores/bow_12247.csv
Alex Obanda,Kenya,"Dec 25, 1987 (34 years)","Nairobi, Kenya",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/704/alex-obanda,Scores/bat_704.csv,Scores/bow_704.csv
Duncan Allan,Kenya,"Oct 14, 1991 (31 years)",--,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8075/duncan-allan,Scores/bat_8075.csv,Scores/bow_8075.csv
Collins Obuya,Kenya,"Jul 27, 1981 (41 years)",Nairobi,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/550/collins-obuya,Scores/bat_550.csv,Scores/bow_550.csv
Seren Waters,Kenya,"Apr 11, 1990 (32 years)","Nairobi, Kenya",Batting Allrounder,6 ft 0 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1592/seren-waters,Scores/bat_1592.csv,Scores/bow_1592.csv
Ragheb Aga,Kenya,"Jul 10, 1984 (38 years)",Kenya,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/188/ragheb-aga,Scores/bat_188.csv,Scores/bow_188.csv
Nelson Odhiambo,Kenya,"Mar 21, 1989 (33 years)","Nairobi, Kenya",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/6478/nelson-odhiambo,Scores/bat_6478.csv,Scores/bow_6478.csv
Nehemiah Odhiambo,Kenya,"Aug 07, 1983 (39 years)","Nairobi, Kenya",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/552/nehemiah-odhiambo,Scores/bat_552.csv,Scores/bow_552.csv
Emmanuel Bundi,Kenya,"Sep 08, 1993 (29 years)","Kakamega, Kenya",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9356/emmanuel-bundi,Scores/bat_9356.csv,Scores/bow_9356.csv
Irfan Karim,Kenya,"Sep 25, 1992 (30 years)",--,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8077/irfan-karim,Scores/bat_8077.csv,Scores/bow_8077.csv
Morris Ouma,Kenya,"Nov 08, 1982 (40 years)",Kiambli,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/194/morris-ouma,Scores/bat_194.csv,Scores/bow_194.csv
Rakep Patel,Kenya,"Jul 12, 1989 (33 years)","Nairobi, Kenya",WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1434/rakep-patel,Scores/bat_1434.csv,Scores/bow_1434.csv
Alfred Luseno,Kenya,"Dec 20, 1981 (40 years)",Kakemaga,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/824/alfred-luseno,Scores/bat_824.csv,Scores/bow_824.csv
James Ngoche,Kenya,"Jan 29, 1988 (34 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7727/james-ngoche,Scores/bat_7727.csv,Scores/bow_7727.csv
Shem Ngoche,Kenya,"Jun 06, 1989 (33 years)",Kenya,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7708/shem-ngoche,Scores/bat_7708.csv,Scores/bow_7708.csv
Lucas Oluoch,Kenya,"Aug 07, 1991 (31 years)","Nairobi, Kenya",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8078/lucas-oluoch,Scores/bat_8078.csv,Scores/bow_8078.csv
Elijah Otieno,Kenya,"Jan 03, 1988 (34 years)","Nairobi, Kenya",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/791/elijah-otieno,Scores/bat_791.csv,Scores/bow_791.csv
Hiren Varaiya,Kenya,"Apr 09, 1984 (38 years)",Kenya,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/553/hiren-varaiya,Scores/bat_553.csv,Scores/bow_553.csv
Dominic Wesonga,Kenya,"Jul 16, 1988 (34 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7888/dominic-wesonga,Scores/bat_7888.csv,Scores/bow_7888.csv
Kyle Coetzer,Scotland,"Apr 14, 1984 (38 years)",Aberdeen,Batsman,5 ft 11 in,--,40,--,--,--,--,https://www.cricbuzz.com/profiles/1415/kyle-coetzer,Scores/bat_1415.csv,Scores/bow_1415.csv
Dylan Budge,Scotland,"Sep 11, 1995 (27 years)","Leeds, Yorkshire",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/13738/dylan-budge,Scores/bat_13738.csv,Scores/bow_13738.csv
Michael Jones,Scotland,"Jan 05, 1998 (24 years)","Ormskirk, Lancashire",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/13527/michael-jones,Scores/bat_13527.csv,Scores/bow_13527.csv
George Munsey,Scotland,"Feb 21, 1993 (29 years)",Oxford,Batsman,--,--,48,22,--,--,--,https://www.cricbuzz.com/profiles/10103/george-munsey,Scores/bat_10103.csv,Scores/bow_10103.csv
Richie Berrington,Scotland,"Apr 03, 1987 (35 years)","Pretoria, South Africa",Batting Allrounder,--,--,68,25,--,--,--,https://www.cricbuzz.com/profiles/1398/richie-berrington,Scores/bat_1398.csv,Scores/bow_1398.csv
Calum MacLeod,Scotland,"Nov 15, 1988 (34 years)","Glasgow, Lanarkshire",Batting Allrounder,--,--,39,79,--,--,--,https://www.cricbuzz.com/profiles/1416/calum-macleod,Scores/bat_1416.csv,Scores/bow_1416.csv
Michael Leask,Scotland,"Oct 29, 1990 (32 years)",Aberdeen,Batting Allrounder,--,--,90,--,--,87,--,https://www.cricbuzz.com/profiles/9383/michael-leask,Scores/bat_9383.csv,Scores/bow_9383.csv
Alasdair Evans,Scotland,"Jan 12, 1989 (33 years)","Pembury, Kent",Bowling Allrounder,6 ft 5 in,--,--,--,--,--,89,https://www.cricbuzz.com/profiles/3053/alasdair-evans,Scores/bat_3053.csv,Scores/bow_3053.csv
Tom Sole,Scotland,"Jun 21, 1996 (26 years)",Edinburgh,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/12771/tom-sole,Scores/bat_12771.csv,Scores/bow_12771.csv
Matthew Cross,Scotland,"Oct 15, 1992 (30 years)",Aberdeen,WK-Batsman,--,--,--,83,--,--,--,https://www.cricbuzz.com/profiles/9365/matthew-cross,Scores/bat_9365.csv,Scores/bow_9365.csv
Craig Wallace,Scotland,"Jun 27, 1990 (32 years)","Dundee, Angus",WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/8255/craig-wallace,Scores/bat_8255.csv,Scores/bow_8255.csv
Mark Watt,Scotland,"Jul 29, 1996 (26 years)","Eastern General Hospital, Edinburgh",Bowler,--,--,--,--,--,19,29,https://www.cricbuzz.com/profiles/9928/mark-watt,Scores/bat_9928.csv,Scores/bow_9928.csv
Safyaan Sharif,Scotland,"May 24, 1991 (31 years)","Huddersfield, Yorkshire",Bowler,--,--,--,--,--,61,73,https://www.cricbuzz.com/profiles/7966/safyaan-sharif,Scores/bat_7966.csv,Scores/bow_7966.csv
Chris Sole,Scotland,"Feb 27, 1994 (28 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9925/chris-sole,Scores/bat_9925.csv,Scores/bow_9925.csv
Gavin Main,Scotland,"Feb 28, 1995 (27 years)",Lanark,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9922/gavin-main,Scores/bat_9922.csv,Scores/bow_9922.csv
Brad Wheal,Scotland,"Aug 28, 1996 (26 years)","Durban, KwaZulu-Natal",Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/10389/brad-wheal,Scores/bat_10389.csv,Scores/bow_10389.csv
Delyone Borden,Bermuda,"Mar 04, 1985 (37 years)",Bermuda,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/662/delyone-borden,Scores/bat_662.csv,Scores/bow_662.csv
James Celestine,Bermuda,"Oct 13, 1973 (49 years)",Grenada,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/861/james-celestine,Scores/bat_861.csv,Scores/bow_861.csv
Fiqre Crockwell,Bermuda,"Jul 08, 1985 (37 years)",Bermuda,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3373/fiqre-crockwell,Scores/bat_3373.csv,Scores/bow_3373.csv
Chris Foggo,Bermuda,"May 07, 1982 (40 years)","Hamilton, Bermuda",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1755/chris-foggo,Scores/bat_1755.csv,Scores/bow_1755.csv
David Hemp,Bermuda,"Nov 08, 1970 (52 years)","Hamilton, Bermuda",Batsman,6 ft 1 in,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/664/david-hemp,Scores/bat_664.csv,Scores/bow_664.csv
Kyle Hodsoll,Bermuda,"Nov 24, 1988 (34 years)",Bermuda,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/863/kyle-hodsoll,Scores/bat_863.csv,Scores/bow_863.csv
Steven Outerbridge,Bermuda,"May 20, 1983 (39 years)","Paget, Bermuda",Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/670/steven-outerbridge,Scores/bat_670.csv,Scores/bow_670.csv
Azeem Pitcher,Bermuda,"Jul 31, 1980 (42 years)",Trinidad,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/864/azeem-pitcher,Scores/bat_864.csv,Scores/bow_864.csv
Tamauri Tucker,Bermuda,"Dec 10, 1988 (33 years)",Bermuda,Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/866/tamauri-tucker,Scores/bat_866.csv,Scores/bow_866.csv
Malachi Jones,Bermuda,"Jun 26, 1989 (33 years)",Bermuda,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/666/malachi-jones,Scores/bat_666.csv,Scores/bow_666.csv
Oliver Pitcher,Bermuda,"May 27, 1983 (39 years)","Paget, Bermuda",Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/671/oliver-pitcher,Scores/bat_671.csv,Scores/bow_671.csv
Rodney Trott,Bermuda,"Sep 08, 1987 (35 years)",Bermuda,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/865/rodney-trott,Scores/bat_865.csv,Scores/bow_865.csv
Janeiro Tucker,Bermuda,"Mar 15, 1975 (47 years)",Bermuda,Batting Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/673/janeiro-tucker,Scores/bat_673.csv,Scores/bow_673.csv
Jekon Edness,Bermuda,"Sep 13, 1983 (39 years)",Bermuda,WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/862/jekon-edness,Scores/bat_862.csv,Scores/bow_862.csv
Oronde Bascome,Bermuda,"Mar 08, 1988 (34 years)",Bermuda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1427/oronde-bascome,Scores/bat_1427.csv,Scores/bow_1427.csv
Chris Douglas,Bermuda,"Nov 20, 1989 (33 years)",Bermuda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1428/chris-douglas,Scores/bat_1428.csv,Scores/bow_1428.csv
Dennico Hollis,Bermuda,"Aug 17, 1988 (34 years)",Bermuda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1431/dennico-hollis,Scores/bat_1431.csv,Scores/bow_1431.csv
Kevin Hurdle,Bermuda,"Dec 30, 1976 (45 years)",Bermuda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/665/kevin-hurdle,Scores/bat_665.csv,Scores/bow_665.csv
Stefan Kelly,Bermuda,"Aug 24, 1988 (34 years)",Bermuda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/667/stefan-kelly,Scores/bat_667.csv,Scores/bow_667.csv
Chris Lonsdale,Bermuda,"Sep 15, 1987 (35 years)",Bermuda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1762/chris-lonsdale,Scores/bat_1762.csv,Scores/bow_1762.csv
George O Brien,Bermuda,"Sep 16, 1984 (38 years)",Bermuda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3343/george-o-brien,Scores/bat_3343.csv,Scores/bow_3343.csv
Jacobi Robinson,Bermuda,"Dec 31, 1984 (37 years)",Bermuda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1775/jacobi-robinson,Scores/bat_1775.csv,Scores/bow_1775.csv
McLaren Smith,Bermuda,"Aug 31, 1991 (31 years)",--,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1779/mclaren-smith,Scores/bat_1779.csv,Scores/bow_1779.csv
Ryan Steede,Bermuda,"Sep 11, 1975 (47 years)",Bermuda,Bowler,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/1430/ryan-steede,Scores/bat_1430.csv,Scores/bow_1430.csv
Glenn Blakeney,Bermuda,"Feb 22, 1973 (49 years)",Bermuda,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/3372/glenn-blakeney,Scores/bat_3372.csv,Scores/bow_3372.csv
Irving Romaine,Bermuda,"Aug 08, 1972 (50 years)",Bermuda,--,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/660/irving-romaine,Scores/bat_660.csv,Scores/bow_660.csv
