name,team,date_of_birth,palce_of_birth,role,height,test_bat_rank,odi_bat_rank,t20_bat_rank,test_bow_rank,odi_bow_rank,t20_bow_rank,link,bat_path,bow_path
Dawid Malan,England,"Sep 03, 1987 (35 years)","Roehampton, England",Batsman,6 ft 0 in,93,99,6,--,--,--,https://www.cricbuzz.com/profiles/6660/dawid-malan,Scores/bat_6660.csv,Scores/bow_6660.csv
Moeen Ali,England,"Jun 18, 1987 (35 years)",Birmingham,Batting Allrounder,--,--,--,45,--,78,--,https://www.cricbuzz.com/profiles/6692/moeen-ali,Scores/bat_6692.csv,Scores/bow_6692.csv
Ben Stokes,England,"Jun 04, 1991 (31 years)","Canterbury, New Zealand",Batting Allrounder,--,25,--,--,36,--,--,https://www.cricbuzz.com/profiles/6557/ben-stokes,Scores/bat_6557.csv,Scores/bow_6557.csv
Chris Woakes,England,"Mar 02, 1989 (33 years)","Birmingham, Warwickshire",Bowling Allrounder,--,91,--,--,40,12,28,https://www.cricbuzz.com/profiles/6670/chris-woakes,Scores/bat_6670.csv,Scores/bow_6670.csv
Tom Curran,England,"Mar 12, 1995 (27 years)","Cape Town, Cape Province",Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/9522/tom-curran,Scores/bat_9522.csv,Scores/bow_9522.csv
Lewis Gregory,England,"May 24, 1992 (30 years)",Plymouth,Bowling Allrounder,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7854/lewis-gregory,Scores/bat_7854.csv,Scores/bow_7854.csv
Sam Curran,England,"Jun 03, 1998 (24 years)",Northampton,Bowling Allrounder,--,--,--,--,71,--,5,https://www.cricbuzz.com/profiles/10420/sam-curran,Scores/bat_10420.csv,Scores/bow_10420.csv
Jonny Bairstow,England,"Sep 26, 1989 (33 years)","Bradford, Yorkshire",WK-Batsman,--,12,7,64,--,--,--,https://www.cricbuzz.com/profiles/6507/jonny-bairstow,Scores/bat_6507.csv,Scores/bow_6507.csv
Jos Buttler,England,"Sep 08, 1990 (32 years)","Taunton, Somerset",WK-Batsman,--,65,31,12,--,--,--,https://www.cricbuzz.com/profiles/2258/jos-buttler,Scores/bat_2258.csv,Scores/bow_2258.csv
Sam Billings,England,"Jun 15, 1991 (31 years)","Pembury, Kent",WK-Batsman,--,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7990/sam-billings,Scores/bat_7990.csv,Scores/bow_7990.csv
Adil Rashid,England,"Feb 17, 1988 (34 years)","Bradford, Yorkshire",Bowler,5 ft 8 in,--,--,--,--,41,3,https://www.cricbuzz.com/profiles/1742/adil-rashid,Scores/bat_1742.csv,Scores/bow_1742.csv
Mark Wood,England,"Jan 11, 1990 (32 years)","Ashington, Northumberland",Bowler,--,--,--,--,42,37,27,https://www.cricbuzz.com/profiles/8383/mark-wood,Scores/bat_8383.csv,Scores/bow_8383.csv
Jofra Archer,England,"Apr 01, 1995 (27 years)","Bridgetown, Barbados",Bowler,--,--,--,--,66,--,--,https://www.cricbuzz.com/profiles/11540/jofra-archer,Scores/bat_11540.csv,Scores/bow_11540.csv
Olly Stone,England,"Oct 09, 1993 (29 years)","Norwich, Norfolk",Bowler,--,--,--,--,85,--,--,https://www.cricbuzz.com/profiles/8022/olly-stone,Scores/bat_8022.csv,Scores/bow_8022.csv
Reece Topley,England,"Feb 21, 1994 (28 years)","Ipswich, Suffolk",Bowler,6 ft 7 in,--,--,--,--,73,23,https://www.cricbuzz.com/profiles/8349/reece-topley,Scores/bat_8349.csv,Scores/bow_8349.csv
Chris Jordan,England,"Oct 04, 1988 (34 years)",Barbados,Bowler,6 ft 2 in,--,--,--,--,--,39,https://www.cricbuzz.com/profiles/6532/chris-jordan,Scores/bat_6532.csv,Scores/bow_6532.csv
Faf du Plessis,South Africa,"Jul 13, 1984 (38 years)",Pretoria,Batsman,5 feet 11 inches,--,--,--,--,--,--,https://www.cricbuzz.com/profiles/7825/faf-du-plessis,Scores/bat_7825.csv,Scores/bow_7825.csv
David Miller,South Africa,"Jun 10, 1989 (33 years)","Pietermaritzburg, Natal",Batsman,--,--,21,31,--,--,--,https://www.cricbuzz.com/profiles/6349/david-miller,Scores/bat_6349.csv,Scores/bow_6349.csv
